gedaehte	VVFIN.Subj.Past.Sg.3	gedæhte	gedènken
diu	DRELS.Fem.Nom.Sg	diu	dër
reiner	ADJA.Pos.Fem.Gen.Sg.st	reiner	rèine
liebe	NA.Fem.Gen.Sg.st	liebe	lièbe
missezeme	VVFIN.Subj.Past.Sg.3	missezæme	missezëmen
:	$_	:	:
ein	DIART	ein	èin
senelichez	ADJA.Pos.Neut.Akk.Sg.st	senelîchez	sènelich
maere	NA.Neut.Akk.Sg.st	mære	mære
daz	DDS.Neut.Akk.Sg.*	daz	dër
tribe	VVFIN.Subj.Pres.Sg.3	trîbe	trîben
ein	DIART	ein	èin
senedaere	NA.Masc.Nom.Sg.st	senedære	sènedære
mit	APPR	mit	mit
herzen	NA.Neut.Dat.Sg.wk	herzen	hërze
und	KON	und	unte
mit	APPR	mit	mit
munde	NA.Masc.Dat.Sg.st	munde	mund
und	KON	und	unte
senfte	VVFIN.Subj.Pres.Sg.3	senfte	sèmften
so	KO*	sô	sô
die	DDART.Fem.Akk.Sg.*	die	dër
stunde	NA.Fem.Akk.Sg.st	stunde	stunte
.	$_	.	.
	
nu	AVD	nû	nû
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
aber	AVD	aber	aber
einer	DIART.Fem.Gen.Sg.st	einer	èin
jehe	NA.Fem.Gen.Sg.st	jehe	jëhe
ze	PTKA	ze	ze
vil	AVD	vile	vile
,	$_	,	,
der	DRELS.Fem.Dat.Sg	der	dër
ich	PPER.*.Nom.Sg.1	ich	ich
vil	AVD	vile	vile
nach	PTKVZ	nâch	nâh
gevolgen	VVINF	gevolgen	gevolgen
wil	VMFIN.Ind.Pres.Sg.1	wile	wèllen
:	$_	:	:
der	DDART.Masc.Nom.Sg.*	der	dër
senede	ADJA.Pos.Masc.Nom.Sg.wk	senente	sènente
muot	NA.Masc.Nom.Sg.st	muot	muot
so	KO*	sô	sô
der	DDS.Masc.Nom.Sg.*	der	dër
ie	AVD	ie	iè
me	AVD.Comp	mêr	mêre
mit	APPR	mit	mit
seneden	ADJA.Pos.*.Dat.Pl.*	senenden	sènente
maeren	NA.Fem,Neut.Dat.Pl.st	mæren	mære
umbe	PTKVZ	umbe	umbe
ge	VVFIN.Subj.Pres.Sg.3	gê	gân
,	$_	,	,
so	KO*	sô	sô
siner	DPOSA.Fem.Gen.Sg.st	sîner	sîn
swaere	NA.Fem.Gen.Sg.st	swære	swære
ie	AVD	ie	iè
mere	ADJD.Comp	mêre	mêre
si	VAFIN.Subj.Pres.Sg.3	sî	sîn
.	$_	.	.
	
der	DDART.Fem.Gen.Sg.*	der	dër
selben	DDA.Fem.Gen.Sg.wk	selben	sëlb
jehe	NA.Fem.Gen.Sg.st	jehe	jëhe
der	DDS.Fem.Dat.Sg.*	der	dër
stüende	VVFIN.Subj.Past.Sg.1	stüente	stân
ich	PPER.*.Nom.Sg.1	ich	ich
bi,	$_	bî	bî
wan	KO*	wan	wante
ein	DIART	ein	èin
dinc	NA.Neut.Nom.Sg.st	dinc	ding
,	$_	,	,
daz	DRELS.Neut.Nom.Sg	daz	dër
mir	PPER.*.Dat.Sg.1	mir	ich
widerstat	VVFIN.Ind.Pres.Sg.3	widerstât	widerstân
:	$_	:	:
swer	PG.Masc.Nom.Sg.st	swer	swër
innecliche	ADJA.Pos.Fem.Akk.Sg.st	inniclîche	inniglich
liebe	NA.Fem.Akk.Sg.st	liebe	lièbe
hat	VAFIN.Ind.Pres.Sg.3	hât	haben
,	$_	,	,
doch	KOUS	doch	doh
ez	PPER.Neut.Nom.Sg.3	ez	ër
im	PPER.Masc.Dat.Sg.3	im	ër
we	NA.Neut.Akk.Sg.st	wê	wê
von	APPR	von	von
herzen	NA.Neut.Dat.Sg.wk	herzen	hërze
tuo	VVFIN.Subj.Pres.Sg.3	tuo	tuon
,	$_	,	,
daz	DDART.Neut.Nom.Sg.*	daz	dër
herze	NA.Neut.Nom.Sg.wk	herze	hërze
stet	VVFIN.Ind.Pres.Sg.3	stêt	stân
doch	AVD	doch	doh
ie	AVD	ie	iè
dar	PAVD	dâr	dâr
zuo	PAVAP	zuo	zuo
.	$_	.	.
	
der	DDART.Masc.Nom.Sg.*	der	dër
innecliche	ADJA.Pos.Masc.Nom.Sg.wk	inniclîche	inniglich
minnen	NA.Fem.Gen.Sg.st	minnen	minne
muot	NA.Masc.Nom.Sg.st	muot	muot
,	$_	,	,
so	KO*	sô	sô
der	DDS.Masc.Nom.Sg.*	der	dër
in	APPR	in	in
siner	DPOSA.Fem.Dat.Sg.st	sîner	sîn
senegluot	NA.Fem.Gen.Sg.st|NA.Fem.Dat.Sg.st	sene|gluot	sène|gluot
ie	AVD	ie	iè
mere	AVD.Comp	mêre	mêre
und	KON	und	unte
mere	AVD.Comp	mêre	mêre
brinnet	VVFIN.Ind.Pres.Sg.3	brinnet	brinnen
,	$_	,	,
so	KO*	sô	sô
er	PPER.Masc.Nom.Sg.3	er	ër
ie	AVD	ie	iè
serer	AVD	sêrer	sêre
minnet	VVFIN.Ind.Pres.Sg.3	minnet	minnen
.	$_	.	.
	
diz	DDA.Neut.Nom.Sg.*	diz	dise
leit	NA.Neut.Nom.Sg.st	leit	lèid
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
liebes	NA.Neut.Gen.Sg.st	liebes	lièb
alse	AVD	alse	allsô
vol	ADJD.Pos	vol	voll
,	$_	,	,
daz	DDART.Neut.Nom.Sg.*	daz	dër
übel	NA.Neut.Nom.Sg.st	übel	übel
daz	DDS.Neut.Nom.Sg.*	daz	dër
tuot	VVFIN.Ind.Pres.Sg.3	tuot	tuon
so	AVD	sô	sô
herzewol	AVD	herzewole	hërzenwole
,	$_	,	,
daz	KOUS	daz	dazz
es	PPER.Neut.Akk.Sg.3	ez	ër
kein	DIA.Neut.Nom.Sg.*	kein	kèin
edele	ADJA.Pos.Neut.Nom.Sg.wk	edele	èdele
herze	NA.Neut.Nom.Sg.wk	herze	hërze
enbirt	VVFIN.Ind.Pres.Sg.3	entbiret	entbëren
,	$_	,	,
sit	KOUS	sît	sîd
ez	PPER.Neut.Nom.Sg.3	ez	ër
hie	PAVD	hier	hièr
von	PAVAP	von	vone
geherzet	VVPP	geheizen	hèizen
wirt	VAFIN.Ind.Pres.Sg.3	wirdet	wërden
.	$_	.	.
	
ich	PPER.*.Nom.Sg.1	ich	ich
weiz	VVFIN.Ind.Pres.Sg.1	weiz	wizzen
ez	PPER.Neut.Nom.Sg.3	ez	ër
warez	VAFIN.Subj.Past.Sg.3|PPER.Neut.Nom.Sg.3	wær|ez	wësen|ër
alse	KO*	alse	allsô
den	DDART.Masc.Akk.Sg.*	den	dër
tot	NA.Masc.Akk.Sg.st	tôt	tôd
und	KON	und	unte
erkennez	VVFIN.Subj.Pres.Sg.3|PPER.Neut.Akk.Sg.3	erkenne|ez	erkènnen|ër
bi	APPR	bî	bî
der	DDART.Fem.Dat.Sg.*	der	dër
selben	DDA.Fem.Dat.Sg.wk	selben	sëlb
not	NA.Fem.Dat.Sg.st	nôt	nôt
:	$_	:	:
der	DDART.Masc.Nom.Sg.*	der	dër
edele	ADJA.Pos.Masc.Nom.Sg.wk	edele	èdele
senedaere	NA.Masc.Nom.Sg.st	senedære	sènedære
der	DDS.Masc.Nom.Sg.*	der	dër
minnet	VVFIN.Ind.Pres.Sg.3	minnet	minnen
senediu	ADJA.Pos.Neut.Akk.Pl.st	senentiu	sènente
maere	NA.Neut.Akk.Pl.st	mære	mære
.	$_	.	.
	
von	APPR	von	von
diu	DDS.*.Instr.Sg.*	diu	dër
swer	PG.Masc.Nom.Sg.st	swer	swër
seneder	ADJA.Pos.Fem.Gen.Sg.st	senedær	sènente
maere	NA.Fem,Neut.Gen.Pl.st	mære	mære
ger	VVFIN.Subj.Pres.Sg.3	ger	gëren
,	$_	,	,
dern	DDS.Masc.Nom.Sg.*|PTKNEG	der|ne	dër|ne
var	VVFIN.Subj.Pres.Sg.3	var	varen
niht	PTKNEG	niht	niht
verrer	AVD	verrer	vërre
danne	KOKOM	danne	danne
her	AVD	her	hëre
;	$_	;	;
ich	PPER.*.Nom.Sg.1	ich	ich
wil	VMFIN.Ind.Pres.Sg.1	wile	wèllen
in	PPER.Masc.Akk.Sg.3	in	ër
wol	AVD	wole	wole
bemaeren	VVINF	bemæren	bemæren
von	APPR	von	von
edelen	ADJA.Pos.*.Dat.Pl.*	edelen	èdele
senedaeren	NA.Masc.Dat.Pl.st	senedæren	sènedære
,	$_	,	,
die	DRELS.*.Nom.Pl	die	dër
reiner	ADJA.Pos.Fem.Gen.Sg.st	reiner	rèine
sene	NA.Fem.Gen.Sg.st	sene	sënewe
wol	AVD	wole	wole
taten	VVFIN.Ind.Past.Pl.3	tâten	tuon
schin	NA.Masc.Akk.Sg.*	schîn	schîne
:	$_	:	:
ein	DIART	ein	èin
senedaer	NA.Masc.Nom.Sg.st	senedær	sènedære
unde	KON	unde	unte
ein	DIART	ein	èin
senedaerin	NA.Fem.Akk.Sg.st	senedærinne	sènedærinne
,	$_	,	,
ein	DIART	ein	èin
man	NA.Masc.Nom.Sg.st	man	mann
,	$_	,	,
ein	DIART	ein	èin
wip	NA.Neut.Akk.Sg.st	wîp	wîb
,	$_	,	,
ein	DIART	ein	èin
wip	NA.Neut.Akk.Sg.st	wîp	wîb
,	$_	,	,
ein	DIART	ein	èin
man	NA.Masc.Nom.Sg.st	man	mann
,	$_	,	,
tristan	NE.Nom.Sg	Tristan	Tristan
isolt	NE.Nom.Sg	Isolde	Isolde
,	$_	,	,
isolt	NE.Nom.Sg	Isolde	Isolde
tristan	NE.Nom.Sg	Tristan	Tristan
.	$_	.	.
	
ich	PPER.*.Nom.Sg.1	ich	ich
weiz	VVFIN.Ind.Pres.Sg.1	weiz	wizzen
wol	AVD	wole	wole
,	$_	,	,
ir	PPER.*.Gen.Pl.3	ir	ër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
vil	NA.Neut.Nom.Sg.st	vile	vile
gewesen	VAPP	gewesen	wësen
,	$_	,	,
die	DDS.*.Nom.Pl.*	die	dër
von	APPR	von	von
tristande	NE.Dat.Sg	Tristande	Tristan
hant	VAFIN.Ind.Pres.Pl.3	hânt	haben
gelesen	VVPP	gelesen	lësen
;	$_	;	;
und	KON	und	unte
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
ir	PPER.*.Gen.Pl.3	ir	ër
doch	AVD	doch	doh
niht	PTKNEG	niht	niht
vil	NA.Neut.Nom.Sg.st	vile	vile
gewesen	VAPP	gewesen	wësen
,	$_	,	,
die	DDS.*.Nom.Pl.*	die	dër
von	APPR	von	von
im	PPER.Masc.Dat.Sg.3	im	ër
rehte	AVD	rehte	rëhte
haben	VAFIN.*.Pres.Pl.3	haben	haben
gelesen	VVPP	gelesen	lësen
.	$_	.	.
	
tuon	VVFIN.Ind.Pres.Sg.1	tuon	tuon
aber	AVD	aber	aber
ich	PPER.*.Nom.Sg.1	ich	ich
diu	DDS.Neut.Akk.Pl.*	diu	dër
geliche	ADJA.Pos.*.Akk.Pl.st	gelîche	gelîch
nuo	AVD	nû	nû
und	KON	und	unte
schepfe	VVFIN.*.Pres.Sg.1	schepfe	schèpfen
miniu	DPOSA.Neut.Akk.Pl.st	mîniu	mîn
wort	NA.Neut.Akk.Pl.st	wort	wort
dar	PAVD	dâr	dâr
zuo	PAVAP	zuo	zuo
,	$_	,	,
daz	KOUS	daz	dazz
mir	PPER.*.Dat.Sg.1	mir	ich
ir	PPER.*.Gen.Pl.3	ir	ër
iegeliches	DIS.Masc.Gen.Sg.st	iegelîches	iègelich
sage	VVFIN.Subj.Pres.Sg.3	sage	sagen
von	APPR	von	von
disem	DDA.Neut.Dat.Sg.*	disem	dise
maere	NA.Neut.Dat.Sg.st	mære	mære
missehage	VVFIN.Subj.Pres.Sg.3	missehage	missehagen
,	$_	,	,
so	AVD	sô	sô
wirbe	VVFIN.Ind.Pres.Sg.1	wirbe	wërben
ich	PPER.*.Nom.Sg.1	ich	ich
anders	AVD	anders	anderes
,	$_	,	,
danne	KOUS	danne	danne
ich	PPER.*.Nom.Sg.1	ich	ich
sol	VMFIN.Ind.Pres.Sg.1	sol	solen
.	$_	.	.
	
ine	PPER.*.Nom.Sg.1|PTKNEG	ich|ne	ich|ne
tuon	VVFIN.Ind.Pres.Sg.1	tuon	tuon
es	PPER.Neut.Gen.Sg.3	es	ër
niht	NA.Neut.Akk.Sg.st	niht	niht
:	$_	:	:
si	PPER.*.Nom.Pl.3	si	ër
sprachen	VVFIN.Ind.Past.Pl.3	sprâchen	sprëchen
wol	AVD	wole	wole
und	KON	und	unte
niwan	AVD	niuwan	niuwan
uz	APPR	ûz	ûz
edelem	ADJA.Pos.Masc,Neut.Dat.Sg.st	edelem	èdele
muote	NA.Masc,Neut.Dat.Sg.st	muote	muot
mir	PPER.*.Dat.Sg.1	mir	ich
unde	KON	unde	unte
der	DDART.Fem.Dat.Sg.*	der	dër
werlt	NA.Fem.Gen.Sg.st	werlt	wërelt
ze	APPR	ze	ze
guote	NA.Fem.Dat.Sg.st	güete	güète
.	$_	.	.
	
binamen	AVD	bînamen	bînamen
si	PPER.*.Nom.Pl.3	si	ër
taten	VVFIN.Ind.Past.Pl.3	tâten	tuon
ez	PPER.Neut.Akk.Sg.3	ez	ër
in	APPR	in	in
guot	NA.Neut.Akk.Sg.st	guot	guot
:	$_	:	:
und	KON	und	unte
swaz	PG.Neut.Akk.Sg.st	swaz	swër
der	DDART.Masc.Nom.Sg.*	der	dër
man	NA.Masc.Nom.Sg.st	man	mann
in	APPR	in	in
guot	NA.Neut.Akk.Sg.st	guot	guot
getuot	VVFIN.Ind.Pres.Sg.3	getuot	getuon
,	$_	,	,
daz	DDS.Neut.Nom.Sg.*	daz	dër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
ouch	AVD	ouch	ouch
guot	ADJD.Pos	guot	guot
und	KON	und	unte
wolgetan	ADJD.Pos	wolegetân	wolegetân
.	$_	.	.
	
aber	AVD	aber	aber
als	KO*	als	allsô
ich	PPER.*.Nom.Sg.1	ich	ich
gesprochen	VVPP	gesprochen	sprëchen
han	VAFIN.Ind.Pres.Sg.1	hân	haben
,	$_	,	,
daz	KOUS	daz	dazz
si	PPER.*.Nom.Pl.3	si	ër
niht	PTKNEG	niht	niht
rehte	AVD	rehte	rëhte
haben	VAFIN.*.Pres.Pl.3	haben	haben
gelesen	VVPP	gelesen	lësen
,	$_	,	,
daz	DDS.Neut.Nom.Sg.*	daz	dër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
,	$_	,	,
als	KO*	als	allsô
ich	PPER.*.Nom.Sg.1	ich	ich
iu	PPER.*.Dat.Pl.2	iu	ir
sage	VVFIN.*.Pres.Sg.1	sage	sagen
,	$_	,	,
gewesen	VAPP	gewesen	wësen
:	$_	:	:
sin	PPER.*.Nom.Pl.3|PTKNEG	si|ne	ër|ne
sprachen	VVFIN.Ind.Past.Pl.3	sprâchen	sprëchen
in	APPR	in	in
der	DDART.Fem.Dat.Sg.*	der	dër
rihte	NA.Fem.Dat.Sg.st	rihte	rihte
niht	PTKNEG	niht	niht
,	$_	,	,
als	KO*	als	allsô
thomas	NE.Nom.Sg	Thomas	Thomas
von	APPR	von	von
britanje	NE.Dat.Sg	Britanje	Britanje
giht	VVFIN.Ind.Pres.Sg.3	jihet	jëhen
,	$_	,	,
der	DDART.Fem.Gen.Sg.*	der	dër
aventiure	NA.Fem.Gen.Sg.st	âventiure	âventiure
meister	NA.Masc.Nom.Sg.st	meister	mèister
was	VAFIN.Ind.Past.Sg.3	was	wësen
und	KON	und	unte
an	APPR	an	ane
britunschen	ADJA.Pos.*.Dat.Pl.*	britûnischen	britûnisch
buochen	NA.Neut.Dat.Pl.st	buochen	buoch
las	VVFIN.Ind.Past.Sg.3	las	lësen
aller	DIA.*.Gen.Pl.st	aller	all
der	DDART.*.Gen.Pl.*	der	dër
lantherren	NA.Masc.Gen.Pl.*	lanthêrren	lanthêrre
leben	NA.Masc,Neut.Akk.Sg.st	leben	lëben
und	KON	und	unte
ez	PPER.Neut.Akk.Sg.3	ez	ër
uns	PPER.*.Dat.Pl.1	uns	wir
ze	APPR	ze	ze
künde	NA.Fem.Dat.Sg.st	künde	künde
hat	VAFIN.Ind.Pres.Sg.3	hât	haben
gegeben	VVPP	gegeben	gëben
.	$_	.	.
	
als	KO*	als	allsô
der	DDS.Masc.Nom.Sg.*	der	dër
von	APPR	von	von
tristande	NE.Dat.Sg	Tristande	Tristan
seit	VVFIN.Ind.Pres.Sg.3	seit	sagen
,	$_	,	,
die	DDART.Fem.Akk.Sg.*	die	dër
rihte	NA.Fem.Akk.Sg.st	rihte	rihte
und	KON	und	unte
die	DDART.Fem.Akk.Sg.*	die	dër
warheit	NA.Fem.Akk.Sg.st	wârheit	wârhèit
begunde	VVFIN.*.Past.Sg.1	begunde	beginnen
ich	PPER.*.Nom.Sg.1	ich	ich
sere	AVD	sêre	sêre
suochen	VVINF	suochen	suochen
in	APPR	in	in
beider	DIA.*.Gen.Pl.st	beider	bèide
hande	NA.Fem.Gen.Pl.st	hande	hant
buochen	NA.Neut.Dat.Pl.st	buochen	buoch
walschen	ADJN.*.Dat.Pl.*	walhischen	walhisch
und	KON	und	unte
latinen	ADJN.*.Dat.Pl.*	latînen	latîn
und	KON	und	unte
begunde	VVFIN.*.Past.Sg.1	begunde	beginnen
mich	PPER.*.Akk.Sg.1	mich	ich
des	DDS.Neut.Gen.Sg.*	des	dër
pinen	VVINF	pînen	pînen
,	$_	,	,
daz	KOUS	daz	dazz
ich	PPER.*.Nom.Sg.1	ich	ich
in	APPR	in	in
siner	DPOSA.Fem.Dat.Sg.st	sîner	sîn
rihte	NA.Fem.Dat.Sg.st	rihte	rihte
rihte	VVFIN.*.Pres.Sg.1	rihte	rihten
dise	DDA.Fem.Akk.Sg.*	dise	dise
tihte	NA.Fem.Akk.Sg.st	tihte	tihte
.	$_	.	.
	
sus	AVD	sus	sus
treip	VVFIN.Ind.Past.Sg.1	treip	trîben
ich	PPER.*.Nom.Sg.1	ich	ich
manege	DIA.Fem.Akk.Sg.st	manige	manig
suoche	NA.Fem.Akk.Sg.st	suoche	suoche
,	$_	,	,
unz	KOUS	unz	unze
ich	PPER.*.Nom.Sg.1	ich	ich
an	APPR	an	ane
eime	DIART.Neut.Dat.Sg.st	eineme	èin
buoche	NA.Neut.Dat.Sg.st	buoche	buoch
alle	DIA.Fem.Akk.Sg.st	alle	all
sine	DPOSA.Fem.Akk.Sg.st	sîne	sîn
jehe	NA.Fem.Akk.Sg.st	jehe	jëhe
gelas	VVFIN.Ind.Past.Sg.1	gelas	gelësen
,	$_	,	,
wie	AVW	wie	wiè
dirre	DDA.Fem.Gen.Sg.*	dirre	dise
aventiure	NA.Fem.Gen.Sg.st	âventiure	âventiure
was	VAFIN.Ind.Past.Sg.3	was	wësen
.	$_	.	.
	
waz	PW.Neut.Nom.Sg.st	waz	wër
aber	AVD	aber	aber
min	DPOSA.Neut.Nom.Sg.*	mîn	mîn
lesen	NA.Neut.Nom.Sg.st	lesen	lësen
do	AVD	dô	dô
waere	VAFIN.Subj.Past.Sg.3	wære	wësen
von	APPR	von	von
disem	DDA.Masc.Dat.Sg.*	disem	dise
senemaere	NA.Masc.Dat.Sg.st	senemære	sënemære
:	$_	:	:
daz	DDS.Neut.Akk.Sg.*	daz	dër
lege	VVFIN.*.Pres.Sg.1	lege	lègen
ich	PPER.*.Nom.Sg.1	ich	ich
miner	DPOSA.Fem.Dat.Sg.st	mîner	mîn
willekür	NA.Fem.Dat.Sg.st	willeküre	willeküre
allen	DIA.*.Dat.Pl.st	allen	all
edelen	ADJA.Pos.*.Dat.Pl.*	edelen	èdele
herzen	NA.Neut.Dat.Pl.wk	herzen	hërze
vür,	$_	vür	wër
daz	KOUS	daz	dazz
si	PPER.*.Nom.Pl.3	si	ër
damite	PAVD|PAVAP	dâ|mite	dâr|mite
unmüezic	ADJD.Pos	unmüezic	unmüèzig
wesen	VAFIN.*.Pres.Pl.3	wesen	wësen
:	$_	:	:
ez	PPER.Neut.Nom.Sg.3	ez	ër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
in	PPER.*.Dat.Pl.3	in	ër
sere	AVD	sêre	sêre
guot	ADJD.Pos	guot	guot
gelesen	VVPP	gelesen	lësen
.	$_	.	.
	
guot	ADJD.Pos	guot	guot
?	$_	?	?
	
ja	PTKANT	jâ	jâ
,	$_	,	,
innecliche	AVD	inniclîche	inniglîche
guot	NA.Neut.Nom.Sg.st	guot	guot
:	$_	:	:
ez	PPER.Neut.Nom.Sg.3	ez	ër
liebet	VVFIN.Ind.Pres.Sg.3	liebet	lièben
liebe	NA.Fem.Nom.Sg.*	liebe	lièbe
und	KON	und	unte
edelt	VVFIN.Ind.Pres.Sg.3	edelt	èdelen
muot	NA.Masc,Neut.Nom.Sg.st	muot	muot
,	$_	,	,
ez	PPER.Neut.Nom.Sg.3	ez	ër
staetet	VVFIN.Ind.Pres.Sg.3	stætet	stæten
triuwe	NA.Fem.Nom.Sg.*	triuwe	triuwe
und	KON	und	unte
tugendet	VVFIN.Ind.Pres.Sg.3	tugendet	tugenden
leben	NA.Masc,Neut.Akk.Sg.st	leben	lëben
,	$_	,	,
ez	PPER.Neut.Nom.Sg.3	ez	ër
kan	VMFIN.Ind.Pres.Sg.3	kan	kunnen
wol	AVD	wole	wole
lebene	NA.Masc,Neut.Akk.Pl.st	lebene	lëben
tugende	NA.Fem.Akk.Pl.st	tugende	tugende
geben	VVINF	geben	gëben
;	$_	;	;
wan	KO*	wan	wante
swa	AVG	swâ	swâr
man	PI.*.Nom.Sg.st	man	man
hoeret	VVFIN.Ind.Pres.Sg.3	hoeret	hoèren
oder	KON	oder	oder
list	VVFIN.Ind.Pres.Sg.3	liset	lësen
,	$_	,	,
daz	DRELS.Neut.Nom.Sg	daz	dër
von	APPR	von	von
so	AVD	sô	sô
reinen	ADJA.Pos.*.Dat.Pl.*	reinen	rèine
triuwen	NA.Fem.Dat.Pl.*	triuwen	triuwe
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
,	$_	,	,
da	AVD	dâ	dâr
liebent	VVFIN.Ind.Pres.Pl.3	liebent	lièben
dem	DDART.Masc.Dat.Sg.*	dem	dër
getriuwen	ADJA.Pos.Masc.Dat.Sg.wk	getriuwen	getriuwe
man	NA.Masc.Dat.Sg.st	manne	mann
triuwe	NA.Fem.Nom.Pl.st	triuwe	triuwe
und	KON	und	unte
ander	DIA	ander	ander
tugende	NA.Fem.Nom.Pl.st	tugende	tugende
van	APPR	van	von
:	$_	:	:
liebe	NA.Fem.Dat.Sg.st	liebe	lièbe
,	$_	,	,
triuwe	NA.Fem.Nom.Sg.*	triuwe	triuwe
,	$_	,	,
staeter	ADJA.Pos.Masc.Nom.Sg.st	stæter	stæte
muot	NA.Masc.Nom.Sg.st	muot	muot
,	$_	,	,
ere	NA.Fem.Nom.Sg.*	êre	êre
und	KON	und	unte
ander	DIA	ander	ander
manic	DIA	manic	manig
guot	NA.Neut.Nom.Sg.st	guot	guot
,	$_	,	,
daz	DDS.Neut.Nom.Sg.*	daz	dër
geliebet	VVFIN.Ind.Pres.Sg.3	geliebet	gelièben
niemer	AVD	niemer	nièmer
anderswa	AVD	anderswâ	andereswâr
so	AVD	sô	sô
sere	AVD	sêre	sêre
noch	KON	noch	noh
so	AVD	sô	sô
wol	AVD	wole	wole
so	KO*	sô	sô
da	AVD	dâ	dâr
,	$_	,	,
da	AVD	dâ	dâr
man	PI.*.Nom.Sg.st	man	man
von	APPR	von	von
herzeliebe	NA.Fem.Dat.Sg.st	herzeliebe	hërzenlièbe
saget	VVFIN.Ind.Pres.Sg.3	saget	sagen
und	KON	und	unte
herzeleit	NA.Neut.Akk.Sg.st	herzeleit	hërzenlèid
uz	APPR	ûz	ûz
liebe	NA.Fem.Dat.Sg.st	liebe	lièbe
claget	VVFIN.Ind.Pres.Sg.3	klaget	klagen
.	$_	.	.
	
liebe	NA.Fem.Nom.Sg.*	liebe	lièbe
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
ein	DIART.Neut.Nom.Sg.*	ein	èin
also	AVD	alsô	allsô
saelic	ADJA.Pos.Neut.Nom.Sg.*	sælic	sælig
dinc	NA.Neut.Nom.Sg.st	dinc	ding
,	$_	,	,
ein	DIART	ein	èin
also	AVD	alsô	allsô
saeleclich	ADJA.Pos	sæliclich	sæliglich
gerinc	NA.Masc.Nom.Sg.st	gerinc	gering
,	$_	,	,
daz	KOUS	daz	dazz
nieman	DIA.*.Nom.Sg.st	nieman	nièmannd
ane	APPR	âne	âne
ir	DPOSA.Fem.Akk.Sg.*	ire	ire
lere	NA.Fem.Akk.Sg.st	lêre	lêre
noch	KON	noch	noh
tugende	NA.Fem.Akk.Sg.st	tugende	tugende
hat	VAFIN.Ind.Pres.Sg.3	hât	haben
noch	KON	noch	noh
ere	NA.Fem.Akk.Sg.st	êre	êre
.	$_	.	.
	
so	AVD	sô	sô
manec	DIA	manic	manig
wert	ADJA.Pos.Masc,Neut.Nom.Sg.*	wert	wërd
leben	NA.Masc,Neut.Nom.Sg.st	leben	lëben
,	$_	,	,
so	AVD	sô	sô
liebe	AVD	liebe	lièbe
vrumet	VVFIN.Ind.Pres.Sg.3	vrumet	vrumen
,	$_	,	,
so	AVD	sô	sô
vil	NA.Neut.Nom.Sg.st	vile	vile
so	KO*	sô	sô
tugende	NA.Fem.Gen.Pl.st	tugende	tugende
von	APPR	von	von
ir	PPER.Fem.Dat.Sg.3	ir	ër
kumet	VVFIN.Ind.Pres.Sg.3	kumet	komen
,	$_	,	,
owe	ITJ|ITJ	ô|wê	ô|wê
daz	KOUS	daz	dazz
allez	DIA.Neut.Nom.Sg.st	allez	all
,	$_	,	,
daz	DRELS.Neut.Nom.Sg	daz	dër
der	AVD	dâr	dâr
lebet	VVFIN.Ind.Pres.Sg.3	lebet	lëben
,	$_	,	,
nach	APPR	nâch	nâh
herzeliebe	NA.Fem.Dat.Sg.st	herzeliebe	hërzenlièbe
niene	AVD	niene	niène
strebet	VVFIN.Ind.Pres.Sg.3	strebet	strëben
,	$_	,	,
daz	KOUS	daz	dazz
ich	PPER.*.Nom.Sg.1	ich	ich
so	AVD	sô	sô
lützel	NA.Neut.Akk.Sg.st	lützel	lützel
vinde	VVFIN.*.Pres.Sg.1	vinde	vinden
der	DRELS.Masc.Nom.Sg	der	dër
,	$_	,	,
die	DDART.Masc.Akk.Pl.*	die	dër
luterliche	ADJA.Pos.*.Akk.Pl.st	lûterlîche	lûterlich
herzeger	NA.Masc.Akk.Pl.st	herzigær	hërzigære
durch	APPR	durch	durh
vriunt	NA.Masc.Akk.Pl.st	vriunde	vriunt
ze	APPR	ze	ze
herzen	NA.Neut.Dat.Sg.wk	herzen	hërze
wellen	VMFIN.Subj.Pres.Pl.3	wellen	wèllen
tragen	VVINF	tragen	tragen
niwan	AVD	niuwan	niuwan
durch	APPR	durch	durh
daz	DDART.Neut.Akk.Sg.*	daz	dër
vil	AVD	vile	vile
arme	ADJA.Pos.Neut.Akk.Sg.wk	arme	arm
clagen	NA.Neut.Akk.Sg.wk	klagen	klagen
,	$_	,	,
daz	DRELS.Neut.Nom.Sg	daz	dër
hie	PAVD	hier	hièr
bi	APPR	bî	bî
zetelicher	APPR|DIA.Fem.Dat.Sg.st	ze|eteslîcher	ze|ëteslich
zit	NA.Fem.Dat.Sg.st	zît	zît
verborgen	VVPP	verborgen	verbërgen
in	APPR	in	in
dem	DDART.Neut.Dat.Sg.*	dem	dër
herzen	NA.Neut.Dat.Sg.wk	herzen	hërze
lit	VVFIN.Ind.Pres.Sg.3	lît	ligen
!	$_	!	!
	
