ir	PPER.*.Nom.Pl.2	ir	ir
die	DDS.*.Nom.Pl.*	die	dër
worden	VAFIN.*.Past.Pl.3	wurden	wërden
ime	PPER.Masc.Dat.Sg.3	ime	ër
gewîset	VVPP	gewîset	wîsen
sîme	DPOSA.Neut.Dat.Sg.st	sîneme	sîn
hûse	NA.Neut.Dat.Sg.st	hûse	hûs
gnûch	AVD	genuoc	genuoge
nâ	ADJD.Pos	nâh	nâh
.	$_	.	.
	
die	DDART.*.Akk.Pl.*	die	dër
criechen	NA.Masc.Akk.Pl.*	Kriechen	Krièche
liezen	VVFIN.*.Past.Pl.3	liezen	lâzen
sie	PPER.*.Nom.Pl.3	sie	ër
dâ	AVD	dâ	dâr
,	$_	,	,
die	DRELS.*.Akk.Pl	die	dër
si	PPER.*.Nom.Pl.3	si	ër
dar	AVD	dar	dâr
heten	VAFIN.*.Past.Pl.3	hæten	haben
braht	VVPP	brâht	bringen
,	$_	,	,
und	KON	und	unte
wâren	VAFIN.Ind.Past.Pl.3	wâren	wësen
hin	AVD	hin	hine
dâ	AVD	dâ	dâr
man	PI.*.Nom.Sg.st	man	man
dâ	AVD	dâ	dâr
vaht	VVFIN.Ind.Past.Sg.3	vaht	vëhten
.	$_	.	.
	
sone	AVD|PTKNEG	sô|ne	sô|ne
mohte	VMFIN.*.Past.Sg.3	mohte	mügen
her	PPER.Masc.Nom.Sg.3	her	ër
getûn	VVINF	getuon	getuon
baz	AVD.Comp	baz	bazz
,	$_	,	,
her	PPER.Masc.Nom.Sg.3	her	ër
nam	VVFIN.Ind.Past.Sg.3	nam	nëmen
sîn	DPOSA	sîn	sîn
gût	NA.Neut.Akk.Sg.st	guot	guot
und	KON	und	unte
schûf	VVFIN.Ind.Past.Sg.3	schuof	schèpfen
daz	KOUS	daz	dazz
siz	PPER.*.Nom.Pl.3|PPER.Neut.Akk.Sg.3	si|ez	ër|ër
hin	AVD	hin	hine
zen	APPR|DDART.*.Dat.Pl.*	ze|den	ze|dër
schiffen	NA.Neut.Dat.Pl.st	schiffen	schiff
fûrden	VVFIN.*.Past.Pl.3	vuorten	vüèren
.	$_	.	.
	
vaste	AVD	vaste	vaste
sie	PPER.*.Nom.Pl.3	sie	ër
sich	PRF.Akk.*.*	sich	sich
rûrden	VVFIN.*.Past.Pl.3	ruorten	rüèren
her	AVD	her	hëre
und	KON	und	unte
sîne	DPOSA.*.Nom.Pl.st	sîne	sîn
holden	ADJA.Pos.*.Nom.Pl.wk	holden	hold
,	$_	,	,
die	DRELS.*.Nom.Pl	die	dër
mit	APPR	mit	mit
im	PPER.Masc.Dat.Sg.3	im	ër
varen	VVINF	varen	varen
scholden	VMFIN.*.Past.Pl.3	scholten	solen
.	$_	.	.
	
sînen	DPOSA.Masc.Akk.Sg.st	sînen	sîn
vater	NA.Masc.Akk.Sg.st	vater	vater
hiez	VVFIN.Ind.Past.Sg.3	hiez	hèizen
er	PPER.Masc.Nom.Sg.3	er	ër
danne	AVD	danne	danne
tragen	VVINF	tragen	tragen
:	$_	:	:
der	DDS.Masc.Nom.Sg.*	der	dër
was	VAFIN.Ind.Past.Sg.3	was	wësen
sô	AVD	sô	sô
komen	VVPP	komen	komen
ze	APPR	ze	ze
sînen	DPOSA.*.Dat.Pl.st	sînen	sîn
tagen	NA.Masc.Dat.Pl.st	tagen	tag
,	$_	,	,
daz	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
niht	PTKNEG	niht	niht
mohte	VMFIN.*.Past.Sg.3	mohte	mügen
gân	VVINF	gân	gân
.	$_	.	.
	
daz	DDS.Neut.Akk.Sg.*	daz	dër
het	VAFIN.*.Past.Sg.3	hæte	haben
ime	PPER.Masc.Dat.Sg.3	ime	ër
daz	DDART.Neut.Nom.Sg.*	daz	dër
alder	NA.Neut.Nom.Sg.st	alter	alter
getân	VVPP	getân	tuon
.	$_	.	.
	
sînen	DPOSA.Masc.Akk.Sg.st	sînen	sîn
sun	NA.Masc.Akk.Sg.st	sun	sun
leiter	VVFIN.*.Past.Sg.3|PPER.Masc.Nom.Sg.3	leite|er	lègen|ër
an	APPR	an	ane
sîner	DPOSA.Fem.Dat.Sg.st	sîner	sîn
hant	NA.Fem.Dat.Sg.st	hant	hant
,	$_	,	,
darumbe	PAVD|PAVAP	dâr|umbe	dâr|umbe
rûmde	VVFIN.*.Past.Sg.3	rûmete	rûmen
her	PPER.Masc.Nom.Sg.3	her	ër
daz	DDART.Neut.Akk.Sg.*	daz	dër
lant	NA.Neut.Akk.Sg.st	lant	lant
,	$_	,	,
daz	KOUS	daz	dazz
her	PPER.Masc.Nom.Sg.3	her	ër
generete	VVFIN.*.Past.Sg.3	generete	genèren
sînen	DPOSA.Masc.Akk.Sg.st	sînen	sîn
lîb	NA.Masc.Akk.Sg.st	lîp	lîb
:	$_	:	:
dâ	AVD	dâ	dâr
verlôs	VVFIN.Ind.Past.Sg.3	verlôs	verlièsen
her	PPER.Masc.Nom.Sg.3	her	ër
sîn	DPOSA	sîn	sîn
wîb	NA.Neut.Akk.Sg.st	wîp	wîb
,	$_	,	,
êr	PPER.Masc.Nom.Sg.3	er	ër
her	AVD	her	hëre
ze	APPR	ze	ze
schiffe	NA.Neut.Dat.Sg.st	schiffe	schiff
quam	VVFIN.Ind.Past.Sg.3	quam	komen
.	$_	.	.
	
ich	PPER.*.Nom.Sg.1	ich	ich
ne	PTKNEG	ne	ne
weiz	VVFIN.Ind.Pres.Sg.1	weiz	wizzen
wer	PW.Masc.Nom.Sg.st	wer	wër
sime	DPOSA.Masc.Dat.Sg.st	sîneme	sîn
nam	NA.Masc.Dat.Sg.*	name	name
.	$_	.	.
	
dô	KOUS	dô	dô
der	DDART.Masc.Nom.Sg.*	der	dër
hêre	ADJA.Pos.Masc.Nom.Sg.wk	hêre	hêre
ênêas	NE.Nom.Sg	Eneas	Eneas
ûz	APPR	ûz	ûz
der	DDART.Fem.Dat.Sg.*	der	dër
borch	NA.Fem.Dat.Sg.st	burc	burg
komen	VVPP	komen	komen
was	VAFIN.Ind.Past.Sg.3	was	wësen
,	$_	,	,
dô	AVD	dô	dô
hete	VAFIN.*.Past.Sg.3	hæte	haben
der	DDART.Masc.Nom.Sg.*	der	dër
helt	NA.Masc.Nom.Sg.st	helt	hèled
milde	ADJN	milte	milte
wol	AVD	wole	wole
drû	CARDA.Neut.Akk.Pl.st	driu	drî
tûsent	ADJS.Pos.Neut.Akk.Pl.*	tûsent	tûsent
schilde	NA.Masc.Akk.Pl.st	schilde	schilt
unde	KON	unde	unte
ritter	NA.Masc.Akk.Pl.st	ritter	rîtære
alsô	AVD	alsô	allsô
vile	AVD	vile	vile
;	$_	;	;
dô	AVD	dô	dô
gieng	VVFIN.Ind.Past.Sg.3	gienc	gân
ez	PPER.Neut.Nom.Sg.3	ez	ër
ûzer	APPR	ûzer	ûzer
deme	DDART.Neut.Dat.Sg.*	deme	dër
spile	NA.Neut.Dat.Sg.st	spile	spil
.	$_	.	.
	
dô	KOUS	dô	dô
sie	PPER.*.Nom.Pl.3	sie	ër
zen	APPR|DDART.*.Dat.Pl.*	ze|den	ze|dër
schiffen	NA.Neut.Dat.Pl.st	schiffen	schiff
quâmen	VVFIN.Ind.Past.Pl.3	quâmen	komen
,	$_	,	,
ir	DPOSA	ire	ire
anker	NA.Masc.Akk.Sg.st	anker	anker
si	PPER.*.Nom.Pl.3	si	ër
dô	AVD	dô	dô
nâmen	VVFIN.Ind.Past.Pl.3	nâmen	nëmen
und	KON	und	unte
zogen	VVFIN.*.Past.Pl.3	zugen	zièhen
si	PPER.Fem.Akk.Sg.3	si	ër
ûz	APPR	ûz	ûz
dem	DDART.Masc.Dat.Sg.*	dem	dër
sande	NA.Masc.Dat.Sg.st	sande	sant
.	$_	.	.
	
der	DDART.Masc.Nom.Sg.*	der	dër
wint	NA.Masc.Nom.Sg.st	wint	wint
quam	VVFIN.Ind.Past.Sg.3	quam	komen
von	APPR	von	von
dem	DDART.Neut.Dat.Sg.*	dem	dër
lande	NA.Neut.Dat.Sg.st	lande	lant
und	KON	und	unte
treib	VVFIN.Ind.Past.Sg.3	treip	trîben
si	PPER.Masc.Akk.Pl.3	si	ër
verre	AVD	verre	vërre
ûf	APPR	ûf	ûf
daz	DDART.Neut.Akk.Sg.*	daz	dër
mere	NA.Neut.Akk.Sg.st	mere	mère
.	$_	.	.
	
dô	AVD	dô	dô
was	VAFIN.Ind.Past.Sg.3	was	wësen
daz	DDS.Neut.Nom.Sg.*	daz	dër
ênêases	NE.Gen.Sg	Eneases	<unknown>
here	NA.Neut.Nom.Sg.st	here	hère
sumelîchez	DIS.Neut.Nom.Sg.st	sumelîchez	sumelich
vil	AVD	vile	vile
frô	ADJD.Pos	vrô	vrô
.	$_	.	.
	
dô	AVD	dô	dô
was	VAFIN.Ind.Past.Sg.3	was	wësen
diu	DDART.Fem.Nom.Sg.*	diu	dër
gotinne	NA.Fem.Nom.Sg.*	gotinne	gotinne
jûnô	AVD	junge	jûne
ênêase	NE.Dat.Sg	Enease	<unknown>
vil	AVD	vile	vile
gehaz	ADJD.Pos	gehaz	gehazz
unde	KON	unde	unte
tetez	VVFIN.*.Past.Sg.3|PPER.Neut.Akk.Sg.3	tet|ez	tuon|ër
umbe	APPR	umbe	umbe
daz	DDS.Neut.Akk.Sg.*	daz	dër
,	$_	,	,
daz	KOUS	daz	dazz
sin	PPER.Masc.Gen.Sg.3	sîn	ër
minnern	VVINF	minnern	minneren
wolde	VMFIN.*.Past.Sg.3	wolte	wèllen
dorch	APPR	durch	durh
den	DDART.Masc.Akk.Sg.*	den	dër
apphel	NA.Masc.Akk.Sg.st	apfel	apfel
von	APPR	von	von
golde	NA.Neut.Dat.Sg.st	golde	gold
,	$_	,	,
den	DRELS.Masc.Akk.Sg	den	dër
pâris	NE.Nom.Sg	Parîs	Parîs
froun	NA.Fem.Dat.Sg.st	vrouwen	vrouwe
vênûse	NA.Fem.Akk.Sg.st	venûse	vernuse
gab	VVFIN.Ind.Past.Sg.3	gap	gëben
.	$_	.	.
	
dâ	AVD	dâ	dâr
quam	VVFIN.Ind.Past.Sg.3	quam	komen
al	DIA.Masc.Nom.Sg.*	al	all
der	DDART.Masc.Nom.Sg.*	der	dër
nît	NA.Masc.Nom.Sg.st	nît	nîd
ab	PAVAP	ab	abe
,	$_	,	,
daz	KOUS	daz	dazz
troie	NE.Nom.Sg	Trôje	Trôja
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
zebrochen	VVPP	zebrochen	zerbrëchen
.	$_	.	.
	
dâ	PAVD	dâ	dâr
mit	PAVAP	mit	mite
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
daz	DDS.Neut.Nom.Sg.*	daz	dër
gerochen	VVPP	gerochen	rëchen
,	$_	,	,
daz	DDS.Neut.Akk.Sg.*	daz	dër
saget	VVFIN.Ind.Pres.Sg.3	saget	sagen
uns	PPER.*.Dat.Pl.1	uns	wir
virgilîûs	NE.Nom.Sg	Virgilius	Virgilius
,	$_	,	,
des	DDS.Neut.Gen.Sg.*	des	dër
gehalf	VVFIN.Ind.Past.Sg.3	gehalf	gehëlfen
frou	NA.Fem.Nom.Sg.*	vrouwe	vrouwe
vênûs	NE.Nom.Sg	Vênus	Venus
,	$_	,	,
daz	KOUS	daz	dazz
pâris	NE.Nom.Sg	Parîs	Parîs
elenam	NE.Akk.Sg	Elenam	Helena
nam	VVFIN.Ind.Past.Sg.3	nam	nëmen
:	$_	:	:
dâ	PAVD	dâ	dâr
grôz	ADJA.Pos.Neut.Nom.Sg.*	grôz	grôz
ubel	NA.Neut.Nom.Sg.st	übel	übel
vone	PAVAP	vone	vone
quam	VVFIN.Ind.Past.Sg.3	quam	komen
.	$_	.	.
	
dô	AVD	dô	dô
intgalt	VVFIN.Ind.Past.Sg.3	entgalt	entgëlten
ênêas	NE.Nom.Sg	Eneas	Eneas
,	$_	,	,
daz	KOUS	daz	dazz
ime	PPER.Masc.Dat.Sg.3	ime	ër
frouwe	NA.Fem.Nom.Sg.*	vrouwe	vrouwe
jûnô	NE.Nom.Sg	Junô	Junô
was	VAFIN.Ind.Past.Sg.3	was	wësen
ungenâdich	ADJD.Pos	ungenædic	ungenædig
unde	KON	unde	unte
gram	ADJD.Pos	gram	gram
.	$_	.	.
	
dô	KOUS	dô	dô
her	PPER.Masc.Nom.Sg.3	her	ër
ûf	APPR	ûf	ûf
daz	DDART.Neut.Akk.Sg.*	daz	dër
mere	NA.Neut.Akk.Sg.st	mere	mère
quam	VVFIN.Ind.Past.Sg.3	quam	komen
und	KON	und	unte
dannen	AVD	dannen	dannen
varen	VVINF	varen	varen
solde	VMFIN.*.Past.Sg.3	solte	solen
,	$_	,	,
swar	AVG	swar	sware
sô	PTK	sô	sô
her	PPER.Masc.Nom.Sg.3	her	ër
hin	PAVAP	hin	hine
wolde	VMFIN.*.Past.Sg.3	wolte	wèllen
,	$_	,	,
sie	PPER.Fem.Nom.Sg.3	sie	ër
was	VAFIN.Ind.Past.Sg.3	was	wësen
im	PPER.Masc.Dat.Sg.3	im	ër
ie	AVD	ie	iè
widere	AVD	widere	widere
mit	APPR	mit	mit
starkem	ADJA.Pos.Neut.Dat.Sg.st	starkem	stark
ungewidere	NA.Neut.Dat.Sg.st	ungewitere	ungewitere
.	$_	.	.
	
diu	DDART.Neut.Nom.Pl.*	diu	dër
bûch	NA.Neut.Nom.Pl.st	buoch	buoch
sagent	VVFIN.Ind.Pres.Pl.3	sagent	sagen
uns	PPER.*.Dat.Pl.1	uns	wir
vor	APPR	vore	vore
wâr	NA.Neut.Akk.Sg.st	wâr	wâr
,	$_	,	,
daz	KOUS	daz	dazz
sin	DPOSA	sîn	sîn
volle	AVD	volle	volle
siben	CARDA	siben	siben
jâr	NA.Neut.Nom.Pl.st	jâr	jâr
ûf	APPR	ûf	ûf
dem	DDART.Neut.Dat.Sg.*	dem	dër
mere	NA.Neut.Dat.Sg.st	mere	mère
errete	VVFIN.*.Past.Sg.3	errette	errètten
und	KON	und	unte
von	APPR	von	von
dem	DDART.Neut.Dat.Sg.*	dem	dër
lande	NA.Neut.Dat.Sg.st	lande	lant
verrete	VVFIN.*.Past.Sg.3	verrete	verrèden
,	$_	,	,
dâ	AVD	dâ	dâr
her	PPER.Masc.Nom.Sg.3	her	ër
gerne	AVD	gerne	gërne
wâre	VAFIN.Subj.Past.Sg.3	wære	wësen
.	$_	.	.
	
ez	PPER.Neut.Nom.Sg.3	ez	ër
was	VAFIN.Ind.Past.Sg.3	was	wësen
ir	PPER.Fem.Dat.Sg.3	ir	ër
ummâre	ADJD.Pos	unmære	unmære
,	$_	,	,
des	DDS.Neut.Gen.Sg.*	des	dër
leider	AVD	leider	lèider
grôze	ADJA.Pos.Fem.Nom.Sg.wk	grôze	grôz
quâle	NA.Fem.Nom.Sg.*	quâle	quâle
.	$_	.	.
	
si	PPER.Fem.Nom.Sg.3	si	ër
erscheinde	VVFIN.*.Past.Sg.3	erscheinte	erschèinen
im	PPER.Masc.Dat.Sg.3	im	ër
zeinem	APPR|DIART.Neut.Dat.Sg.st	ze|einem	ze|èin
mâle	NA.Neut.Dat.Sg.st	mâle	mâl
unsanfte	AVD	unsanfte	unsamfte
ire	DPOSA	ire	ire
maht	NA.Fem.Akk.Sg.st	maht	maht
drî	CARDA.*.Akk.Pl.st	drî	drî
tage	NA.Masc.Akk.Pl.st	tage	tag
und	KON	und	unte
drî	CARDA.*.Akk.Pl.st	drî	drî
naht	NA.Fem.Akk.Pl.st	nahte	naht
.	$_	.	.
	
si	PPER.Fem.Nom.Sg.3	si	ër
tet	VVFIN.*.Past.Sg.3	tet	tuon
im	PPER.Masc.Dat.Sg.3	im	ër
grôzen	ADJA.Pos.Masc.Akk.Sg.*	grôzen	grôz
tormint	NA.Masc.Akk.Sg.st	torment	tormind
,	$_	,	,
beide	KON	beide	bèide
storm	NA.Masc.Akk.Sg.st	sturm	sturm
unde	KON	unde	unte
wint	NA.Masc.Akk.Sg.st	wint	wint
,	$_	,	,
mit	APPR	mit	mit
regene	NA.Masc.Dat.Sg.st	regene	rëgen
und	KON	und	unte
mit	APPR	mit	mit
hagele	NA.Masc.Dat.Sg.st	hagele	hagel
.	$_	.	.
	
ez	PPER.Neut.Nom.Sg.3	ez	ër
brasten	VVFIN.Ind.Past.Pl.3	brâsten	brësten
ire	DPOSA.Masc.Nom.Pl.*	ire	ire
nagele	NA.Masc.Nom.Pl.st	nagele	nagel
an	APPR	an	ane
ir	DPOSA	ire	ire
schiffen	NA.Neut.Dat.Pl.st	schiffen	schiff
vaste	AVD	vaste	vaste
,	$_	,	,
ir	DPOSA	ire	ire
segele	NA.Masc.Akk.Pl.st	segele	sëgel
unde	KON	unde	unte
ir	DPOSA	ire	ire
maste	NA.Masc.Akk.Pl.st	mennische	mast
,	$_	,	,
ir	DPOSA	ire	ire
rûder	NA.Neut.Akk.Pl.st	ruoder	ruoder
und	KON	und	unte
ôch	AVD	ouch	ouch
ir	DPOSA	ire	ire
rahen	VVFIN.Ind.Past.Pl.3	râchen	rëchen
:	$_	:	:
si	PPER.Fem.Nom.Sg.3	si	ër
wolde	VMFIN.*.Past.Sg.3	wolte	wèllen
se	PPER.*.Akk.Pl.3	sie	ër
al	AVD	al	al
ze	APPR	ze	ze
tôde	NA.Masc.Dat.Sg.st	tôde	tôd
slahen	VVINF	slahen	slahen
diu	DDART.Fem.Nom.Sg.*	diu	dër
gotinne	NA.Fem.Nom.Sg.*	gotinne	gotinne
jûnô	NE.Nom.Sg	Junô	Junô
.	$_	.	.
	
dô	AVD	dô	dô
quam	VVFIN.Ind.Past.Sg.3	quam	komen
ez	PPER.Neut.Nom.Sg.3	ez	ër
alsô	AVD	alsô	allsô
,	$_	,	,
daz	KOUS	daz	dazz
der	DDART.*.Gen.Pl.*	der	dër
schiffe	NA.Neut.Gen.Pl.st	schiffe	schiff
einez	CARDS.Neut.Nom.Sg.st	einez	èin
versank	VVFIN.Ind.Past.Sg.3	versanc	versinken
unde	KON	unde	unte
daz	DDART.Neut.Nom.Sg.*	daz	dër
volc	NA.Neut.Nom.Sg.st	volc	volk
ertrank	VVFIN.Ind.Past.Sg.3	ertranc	ertrinken
allez	DIA.Neut.Nom.Sg.st	allez	all
daz	DRELS.Neut.Nom.Sg	daz	dër
dar	PAVD	dâr	dâr
inne	PAVAP	inne	inne
was	VAFIN.Ind.Past.Sg.3	was	wësen
.	$_	.	.
	
dô	AVD	dô	dô
clagete	VVFIN.*.Past.Sg.3	klagete	klagen
ênêas	NE.Nom.Sg	Eneas	Eneas
,	$_	,	,
daz	KOUS	daz	dazz
her	PPER.Masc.Nom.Sg.3	her	ër
ie	AVD	ie	iè
dare	AVD	dare	dare
quam	VVFIN.Ind.Past.Sg.3	quam	komen
,	$_	,	,
daz	KOUS	daz	dazz
her	PPER.Masc.Nom.Sg.3	her	ër
sîn	DPOSA.Masc,Neut.Akk.Sg.*	sîn	sîn
ende	NA.Masc,Neut.Akk.Sg.st	ende	ènte
niht	PTKNEG	niht	niht
ennam	PTKNEG|VVFIN.Ind.Past.Sg.3	en|nam	ne|nëmen
zû	APPR	ze	ze
troie	NE.Dat.Sg	Trôje	Trôja
mit	APPR	mit	mit
êren	NA.Fem.Dat.Pl.*	êren	êre
mit	APPR	mit	mit
pârise	NE.Dat.Sg	Parîse	Parîs
sîme	DPOSA.Masc.Dat.Sg.st	sîneme	sîn
hêren	NA.Masc.Dat.Sg.*	hêrren	hêrre
.	$_	.	.
	
her	PPER.Masc.Nom.Sg.3	her	ër
sprach	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
,	$_	,	,
her	PPER.Masc.Nom.Sg.3	her	ër
woldez	VMFIN.*.Past.Sg.3|PPER.Neut.Akk.Sg.3	wolte|ez	wèllen|ër
iemer	AVD	iemer	ièmer
clagen	VVINF	klagen	klagen
,	$_	,	,
daz	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
niht	PTKNEG	niht	niht
enwart	PTKNEG|VAFIN.Ind.Past.Sg.3	en|wart	ne|wërden
erslagen	VVPP	erslagen	erslahen
bî	APPR	bî	bî
dem	DDART.Masc.Dat.Sg.*	dem	dër
kunege	NA.Masc.Dat.Sg.st	küninge	küning
prîamô	NE.Dat.Sg	Priamô	Priamus
.	$_	.	.
	
der	DDART.Masc.Nom.Sg.*	der	dër
stormwint	NA.Masc.Nom.Sg.st	stormwint	stormwint
zerteilde	VVFIN.*.Past.Sg.3	zerteilete	zertèilen
dô	AVD	dô	dô
diu	DDART.Neut.Akk.Pl.*	diu	dër
schif	NA.Neut.Akk.Pl.st	schif	schiff
vile	AVD	vile	vile
wîten	AVD	wîten	wîtene
.	$_	.	.
	
alsô	AVD	alsô	allsô
mûstens	VMFIN.Subj.Past.Pl.3|PPER.*.Nom.Pl.3	muosten|si	müèzen|ër
rîten	VVINF	rîten	rîten
,	$_	,	,
wan	KO*	wan	wante
sie	PPER.*.Nom.Pl.3	sie	ër
sich	PRF.Akk.*.*	sich	sich
vor	APPR	vore	vore
den	DDART.*.Dat.Pl.*	den	dër
unden	NA.Fem.Dat.Pl.*	ünden	ünde
berihten	VVINF	berihten	berihten
niene	AVD	niene	niène
kunden	VMFIN.*.Past.Pl.3	kunden	kunnen
.	$_	.	.
	
dô	AVD	dô	dô
was	VAFIN.Ind.Past.Sg.3	was	wësen
dâ	AVD	dâ	dâr
en	APPR	in	in
sorgen	NA.Fem.Dat.Pl.*	sorgen	sorge
den	DDART.Masc.Akk.Sg.*	den	dër
âbent	NA.Masc.Akk.Sg.st	âbent	âbend
und	KON	und	unte
den	DDART.Masc.Akk.Sg.*	den	dër
morgen	NA.Masc.Akk.Sg.st	morgen	morgen
vile	AVD	vile	vile
manich	DIA.Neut.Nom.Sg.*	manic	manig
mûderbarn	NA.Neut.Nom.Sg.st	muoderbarn	muoterbarn
.	$_	.	.
	
alsô	AVD	alsô	allsô
mûsten	VMFIN.*.Past.Pl.3	muosten	müèzen
sie	PPER.*.Nom.Pl.3	sie	ër
varn	VVINF	varn	varen
unze	AVD	unze	unze
an	APPR	an	ane
den	DDART.Masc.Akk.Sg.*	den	dër
vierden	ADJA.Pos.Masc.Akk.Sg.*	vierden	vièrd
tach	NA.Masc.Akk.Sg.st	tac	tag
,	$_	,	,
daz	KOUS	daz	dazz
der	DDART.Masc.Nom.Sg.*	der	dër
wint	NA.Masc.Nom.Sg.st	wint	wint
dô	AVD	dô	dô
gelach	VVFIN.Ind.Past.Sg.3	gelac	geligen
und	KON	und	unte
die	DDART.*.Nom.Pl.*	die	dër
starken	ADJA.Pos.*.Nom.Pl.wk	starken	stark
unden	NA.Fem.Nom.Pl.st	ünden	ünde
stillen	VVINF	stillen	stillen
begunden	VVFIN.*.Past.Pl.3	begunden	beginnen
,	$_	,	,
und	KON	und	unte
geslihtet	VVPP	geslihtet	slihten
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
der	DDART.Masc.Nom.Sg.*	der	dër
sê	NA.Masc.Nom.Sg.st	sê	sêw
,	$_	,	,
der	DRELS.Masc.Nom.Sg	der	dër
sô	AVD	sô	sô
rûch	ADJD.Pos	rûch	rûh
was	VAFIN.Ind.Past.Sg.3	was	wësen
ê,	$_	ê	êr
unde	KON	unde	unte
hûb	VVFIN.Ind.Past.Sg.3	huop	hèben
sich	PRF.Akk.*.*	sich	sich
der	DDART.Masc.Nom.Sg.*	der	dër
tach	NA.Masc.Nom.Sg.st	tac	tag
.	$_	.	.
	
dô	KOUS	dô	dô
daz	DDS.Neut.Akk.Sg.*	daz	dër
ênêas	NE.Nom.Sg	Eneas	Eneas
gesach	VVFIN.Ind.Past.Sg.3	gesach	gesëhen
,	$_	,	,
daz	KOUS	daz	dazz
sich	PRF.Akk.*.*	sich	sich
daz	DDART.Neut.Nom.Sg.*	daz	dër
mere	NA.Neut.Nom.Sg.st	mere	mère
slihte	VVFIN.*.Past.Sg.3	slihte	slihten
,	$_	,	,
sîn	DPOSA	sîn	sîn
houbet	NA.Neut.Akk.Sg.st	houbet	houbet
her	PAVD	her	hëre
ûf	PAVAP	ûf	ûf
rihte	VVFIN.*.Past.Sg.3	rihte	rihten
der	DDART.Masc.Nom.Sg.*	der	dër
wol	AVD	wole	wole
gelobete	ADJA.Pos.Masc.Nom.Sg.wk	gelobete	gelobet
wîgant	NA.Masc.Nom.Sg.st	wîgant	wîgant
:	$_	:	:
her	PPER.Masc.Nom.Sg.3	her	ër
gesach	VVFIN.Ind.Past.Sg.3	gesach	gesëhen
von	APPR	von	von
libîâ	NE.Dat.Sg	Libia	Libia
daz	DDART.Neut.Akk.Sg.*	daz	dër
lant	NA.Neut.Akk.Sg.st	lant	lant
und	KON	und	unte
die	DDART.*.Akk.Pl.*	die	dër
berge	NA.Masc.Akk.Pl.st	berge	bërg
vile	AVD	vile	vile
hô	ADJN	hôh	hôh
.	$_	.	.
	
des	DDS.Neut.Gen.Sg.*	des	dër
was	VAFIN.Ind.Past.Sg.3	was	wësen
sîn	DPOSA.Neut.Nom.Sg.*	sîn	sîn
herze	NA.Neut.Nom.Sg.wk	herze	hërze
vil	AVD	vile	vile
vrô	ADJD.Pos	vrô	vrô
,	$_	,	,
daz	KOUS	daz	dazz
in	PPER.Masc.Akk.Sg.3	in	ër
fortûnâ	NE.Nom.Sg	Fortuna	Fortuna
sus	AVD	sus	sus
erlôste	VVFIN.*.Past.Sg.3	erlôste	erloèsen
.	$_	.	.
	
sîne	DPOSA.*.Akk.Pl.st	sîne	sîn
lûte	NA.Masc,Neut.Akk.Pl.st	liute	liut
her	PPER.Masc.Nom.Sg.3	her	ër
dô	AVD	dô	dô
trôste	VVFIN.*.Past.Sg.3	trôste	troèsten
,	$_	,	,
daz	KOUS	daz	dazz
sie	PPER.*.Nom.Pl.3	sie	ër
sich	PRF.Akk.*.*	sich	sich
wol	AVD	wole	wole
gehielden	VVFIN.*.Past.Pl.3	gehielten	gehalten
und	KON	und	unte
rûrden	VVFIN.*.Past.Pl.3	ruorten	rüèren
unde	KON	unde	unte
schielden	VVFIN.*.Past.Pl.3	schielten	schalten
,	$_	,	,
daz	KOUS	daz	dazz
si	PPER.*.Nom.Pl.3	si	ër
ze	APPR	ze	ze
lande	NA.Neut.Dat.Sg.st	lande	lant
quâmen	VVFIN.Ind.Past.Pl.3	quâmen	komen
und	KON	und	unte
die	DDART.Fem.Akk.Sg.*	die	dër
habe	NA.Fem.Akk.Sg.st	habe	habe
dâ	AVD	dâ	dâr
nâmen	VVFIN.Ind.Past.Pl.3	nâmen	nëmen
alsolich	DID.*.*.*.st	alsolich	allsolich
sô	KO*	sô	sô
si	PPER.Fem.Nom.Sg.3	si	ër
wâre	VAFIN.Subj.Past.Sg.3	wære	wësen
.	$_	.	.
	
daz	DDS.Neut.Nom.Sg.*	daz	dër
was	VAFIN.Ind.Past.Sg.3	was	wësen
ein	DIART	ein	èin
nûwe	ADJA.Pos.Neut.Nom.Sg.wk	niuwe	niuwe
mâre	NA.Neut.Nom.Sg.st	mære	mære
,	$_	,	,
daz	KOUS	daz	dazz
si	PPER.*.Nom.Pl.3	si	ër
gerne	AVD	gerne	gërne
hôrden	VVFIN.*.Past.Pl.3	hôrten	hoèren
.	$_	.	.
	
si	PPER.*.Nom.Pl.3	si	ër
sprungen	VVFIN.*.Past.Pl.3	sprungen	springen
zû	APPR	ze	ze
den	DDART.*.Dat.Pl.*	den	dër
borden	NA.Fem.Dat.Pl.*	borden	borde
,	$_	,	,
si	PPER.*.Nom.Pl.3	si	ër
stunden	VVFIN.*.Past.Pl.3	stuonden	stân
unde	KON	unde	unte
rûrden	VVFIN.*.Past.Pl.3	ruorten	rüèren
,	$_	,	,
manlîche	AVD	manlîche	mannlîche
