swer	PG.Masc.Nom.Sg.st	swer	swër
der	DDS.Masc.Nom.Sg.*	der	dër
duchte	VVFIN.*.Past.Sg.3	dûhte	dunken
mich	PPER.*.Akk.Sg.1	mich	ich
unstete	ADJD.Pos	unstæte	unstæte
des	DDS.Neut.Gen.Sg.*	des	dër
enlobe	PTKNEG|VVFIN.*.Pres.Sg.1	en|lobe	ne|loben
ich	PPER.*.Nom.Sg.1	ich	ich
sin	PPER.Masc.Gen.Sg.3	sîn	ër
niht	NA.Neut.Akk.Sg.st	niht	niht
wen	KO*	wente	wante
mit	APPR	mit	mit
untruwen	NA.Fem.Gen.Pl.*	untriuwen	untriuwe
pfliht	NA.Fem.Dat.Sg.st	pfliht	pflihte
dirre	DDA.Fem.Gen.Sg.*	dirre	dise
untruwen	NA.Fem.Gen.Sg.st	untriuwen	untriuwe
was	VAFIN.Ind.Past.Sg.3	was	wësen
gewon	ADJD.Pos	gewon	gewone
umb	APPR	umbe	umbe
sines	DPOSA.Masc.Gen.Sg.st	sînes	sîn
bruoder	NA.Masc.Gen.Sg.st	bruoderes	bruoder
suon	NA.Masc.Akk.Sg.st	sun	sun
dem	DDART.Masc.Dat.Sg.*	dem	dër
frumen	ADJA.Pos.Masc.Dat.Sg.wk	vrumen	vrum
ritter	NA.Masc.Dat.Sg.st	ritter	rîtære
sime	DPOSA.Masc.Dat.Sg.st	sîneme	sîn
nefen	NA.Masc.Dat.Sg.wk	neven	nëve
dem	DRELS.Masc.Dat.Sg	dem	dër
er	PPER.Masc.Nom.Sg.3	er	ër
von	APPR	von	von
rechte	NA.Neut.Dat.Sg.st	rehte	rëht
solde	VMFIN.*.Past.Sg.3	solte	solen
geben	VVINF	geben	gëben
beide	KON	beide	bèide
burge	NA.Fem.Akk.Pl.st	bürge	burg
und	KON	und	unte
lant	NA.Neut.Akk.Sg.st	lant	lant
im	PPER.Masc.Dat.Sg.3	im	ër
neher	ADJA.Pos	nâher	nâh
erbe	NA.Neut.Akk.Sg.st	erbe	èrbe
niht	PTKNEG	niht	niht
was	VAFIN.Ind.Past.Sg.3	was	wësen
bekant	VVPP	bekant	bekènnen
er	PPER.Masc.Nom.Sg.3	er	ër
hette	VAFIN.*.Past.Sg.3	hette	haben
selbe	DDD.Masc.Nom.Sg.wk	selbe	sëlb
deheine	DIA.*.Akk.Pl.st	decheine	dehèin
kint	NA.Neut.Akk.Pl.st	kint	kind
als	KO*	als	allsô
ir	PPER.*.Nom.Pl.2	ir	ir
wol	AVD	wole	wole
gehoret	VVPP	gehoeret	hoèren
sint	AVD	sint	sint
derselbe	DDART.Masc.Nom.Sg.*|DDA.Masc.Nom.Sg.wk	der|selbe	dër|sëlb
kunic	NA.Masc.Nom.Sg.st	küninc	küning
peleas	NE.Nom.Sg	Peleas	Peleas
der	DRELS.Masc.Nom.Sg	der	dër
als	AVD	als	allsô
ungetruwe	ADJD.Pos	ungetriuwe	ungetriuwe
was	VAFIN.Ind.Past.Sg.3	was	wësen
hette	VAFIN.*.Past.Sg.3	hette	haben
einen	DIART.Masc.Akk.Sg.st	einen	èin
bruder	NA.Masc.Akk.Sg.st	bruoder	bruoder
hiz	VVFIN.Ind.Past.Sg.3	hiez	hèizen
eson	NE.Nom.Sg	Eson	Esôn
der	DDS.Masc.Nom.Sg.*	der	dër
hette	VAFIN.*.Past.Sg.3	hette	haben
einen	DIART.Masc.Akk.Sg.st	einen	èin
sun	NA.Masc.Akk.Sg.st	sun	sun
der	DDS.Masc.Nom.Sg.*	der	dër
hiz	VVFIN.Ind.Past.Sg.3	hiez	hèizen
jason	NE.Nom.Sg	Jâsôn	Jâsôn
der	DDS.Masc.Nom.Sg.*	der	dër
was	VAFIN.Ind.Past.Sg.3	was	wësen
iunc	ADJD.Pos	junc	jung
und	KON	und	unte
hette	VAFIN.*.Past.Sg.3	hette	haben
tugent	NA.Fem.Akk.Sg.st	tugent	tugende
wer	NA.Fem.Akk.Sg.st	wer	wère
daz	KOUS	daz	dazz
ieman	DIA.*.Nom.Sg.st	ieman	ièmannd
in	APPR	in	in
der	DDART.Fem.Dat.Sg.*	der	dër
iugent	NA.Fem.Dat.Sg.st	jugent	jugend
von	APPR	von	von
tugende	NA.Fem.Dat.Sg.st	tugende	tugende
mochte	VMFIN.*.Past.Sg.3	mohte	mügen
wesen	VAINF	wesen	wësen
wis	ADJD.Pos	wîs	wîse
so	AVD	sô	sô
was	VAFIN.Ind.Past.Sg.3	was	wësen
er	PPER.Masc.Nom.Sg.3	er	ër
gra	ADJD.Pos	grâ	grâw
und	KON	und	unte
gris	ADJD.Pos	grîs	grîs
in	APPR	in	in
sime	DPOSA.Neut.Dat.Sg.st	sîneme	sîn
hertzen	NA.Neut.Dat.Sg.wk	herzen	hërze
binne	AVD	binnen	binnen
er	PPER.Masc.Nom.Sg.3	er	ër
was	VAFIN.Ind.Past.Sg.3	was	wësen
vrum	ADJD.Pos	vrum	vrum
von	APPR	von	von
sinen	DPOSS.*.Dat.Pl.st	sînen	sîn
er	PPER.Masc.Nom.Sg.3	er	ër
was	VAFIN.Ind.Past.Sg.3	was	wësen
zu	APPR	zuo	ze
gote	NA.Masc.Dat.Sg.st	gote	got
reine	ADJD.Pos	reine	rèine
dem	DDART.Neut.Dat.Sg.*	dem	dër
folke	NA.Neut.Dat.Sg.st	volke	volk
gar	AVD	gar	gare
gemeine	ADJD.Pos	gemeine	gemèine
den	DDART.*.Dat.Pl.*	den	dër
armen	ADJA.Pos.*.Dat.Pl.*	armen	arm
zu	APPR	zuo	ze
gebenne	NA.Neut.Dat.Sg.st	gebenne	gëben
sinen	DPOSA.*.Dat.Pl.st	sînen	sîn
gelichen	ADJA.Pos.*.Dat.Pl.*	gelîchen	gelîch
ebenne	AVD	ebene	ëbene
sinen	DPOSA.*.Dat.Pl.st	sînen	sîn
undertanen	NA.Masc.Dat.Pl.st	undertânen	untertân
otmutig	ADJD.Pos	ôtmüetic	ôdmüètig
sinen	DPOSA.*.Dat.Pl.st	sînen	sîn
ubertgoenden	NA.Masc.Dat.Pl.*	übertrogen	übergonde
hochmutic	ADJD.Pos	hôchmüetic	hôhmüètig
kindisch	ADJD.Pos	kindisch	kindisch
den	DDART.*.Dat.Pl.*	den	dër
kinden	NA.Neut.Dat.Pl.st	kinden	kind
grimme	ADJD.Pos	grimme	grimme
den	DDART.*.Dat.Pl.*	den	dër
swinden	ADJA.Pos.*.Dat.Pl.*	swinden	swinde
ane	APPR	âne	âne
wort	NA.Neut.Akk.Sg.st	wort	wort
frume	ADJD.Pos	vrume	vrum
zu	APPR	zuo	ze
der	DDART.Fem.Dat.Sg.*	der	dër
tat	NA.Fem.Dat.Sg.st	tât	tât
und	KON	und	unte
mit	APPR	mit	mit
den	DDART.*.Dat.Pl.*	den	dër
worten	NA.Neut.Dat.Pl.st	worten	wort
rat	NA.Masc.Nom.Sg.st	rât	rât
herte	ADJD.Pos	herte	hèrte
zu	APPR	zuo	ze
ungerete	NA.Neut.Dat.Sg.st	ungeræte	ungeræte
zu	APPR	zuo	ze
dem	DDART.Neut.Dat.Sg.*	dem	dër
gelubede	NA.Neut.Dat.Sg.st	gelübede	gelübede
stete	ADJD.Pos	stæte	stæte
zu	APPR	zuo	ze
rechter	ADJA.Pos.Fem.Dat.Sg.st	rehter	rëht
gabe	NA.Fem.Dat.Sg.st	gâbe	gâbe
milde	ADJD.Pos	milte	milte
gefuge	ADJD.Pos	gevüege	gevüège
zu	APPR	zuo	ze
dem	DDART.Masc.Dat.Sg.*	dem	dër
schilde	NA.Masc.Dat.Sg.st	schilde	schilt
sinen	DPOSA.*.Dat.Pl.st	sînen	sîn
finden	NA.Masc.Dat.Pl.st	vîenden	vîent
offenbar	ADJD.Pos	offenbâr	offenbâr
sinen	DPOSA.*.Dat.Pl.st	sînen	sîn
frunden	NA.Masc.Dat.Pl.st	vriunden	vriunt
ane	APPR	âne	âne
var	NA.Fem.Akk.Sg.st	vâr	vâre
gruzsam	ADJD.Pos	gruozsam	gruozsam
in	APPR	in	in
der	DDART.Fem.Dat.Sg.*	der	dër
strazze	NA.Fem.Dat.Sg.st	strâze	strâze
und	KON	und	unte
von	APPR	von	von
gutem	ADJA.Pos.Masc,Neut.Dat.Sg.st	guotem	guot
gelazze	NA.Masc,Neut.Dat.Sg.st	gelâze	gelâz
einfeltic	ADJD.Pos	einvaltic	èinvaltig
an	APPR	an	ane
der	DDART.Fem.Dat.Sg.*	der	dër
gebere	NA.Fem.Dat.Sg.st	gebære	gebære
manicfaltic	ADJD.Pos	manicvaltic	manigvaltig
an	APPR	an	ane
der	DDART.Fem.Dat.Sg.*	der	dër
lere	NA.Fem.Dat.Sg.st	lêre	lêre
kunstic	ADJD.Pos	künstic	künstig
an	APPR	an	ane
dem	DDART.Masc.Dat.Sg.*	dem	dër
sinne	NA.Masc.Dat.Sg.st	sinne	sinn
redelich	ADJD.Pos	redelich	rèdelich
an	APPR	an	ane
dem	DDART.Masc.Dat.Sg.*	dem	dër
gwinne	NA.Masc.Dat.Sg.st	gewinne	gewinn
gebougen	VVPP	gebogen	biègen
zu	APPR	zuo	ze
der	DDART.Fem.Dat.Sg.*	der	dër
wisheit	NA.Fem.Dat.Sg.st	wîsheit	wîshèit
starg	ADJD.Pos	starc	stark
zu	APPR	zuo	ze
der	DDART.Fem.Dat.Sg.*	der	dër
erbeit	NA.Fem.Dat.Sg.st	arbeit	arbèit
in	PPER.Masc.Akk.Sg.3	in	ër
vertruc	VVFIN.Ind.Past.Sg.3	vertruoc	vertragen
dehein	DIA	dechein	dehèin
sin	DPOSA	sîn	sîn
schonheit	NA.Fem.Nom.Sg.st	schoenheit	schoènhèit
im	PPER.Masc.Dat.Sg.3	im	ër
was	VAFIN.Ind.Past.Sg.3	was	wësen
sin	DPOSA	sîn	sîn
leit	NA.Neut.Nom.Sg.st	leit	lèid
niht	PTKNEG	niht	niht
zu	PTKA	zuo	ze
leit	ADJD.Pos	leit	lèid
noch	KON	noch	noh
sin	DPOSA	sîn	sîn
liep	NA.Neut.Nom.Sg.st	liep	lièb
zu	PTKA	zuo	ze
liep	ADJD.Pos	liep	lièb
niht	PTKNEG	niht	niht
daz	DRELS.Neut.Nom.Sg	daz	dër
doch	AVD	doch	doh
vil	AVD	vile	vile
selten	AVD	selten	sëltene
geschit	VVFIN.Ind.Pres.Sg.3	geschiet	geschëhen
mit	APPR	mit	mit
zuhten	NA.Fem.Dat.Pl.st	zühten	zuht
zu	APPR	zuo	ze
iuste	NA.Fem.Dat.Sg.*	tjoste	tjoste
und	KON	und	unte
zu	APPR	zuo	ze
spil	NA.Neut.Dat.Sg.st	spile	spil
ob	KOUS	ob	obe
ich	PPER.*.Nom.Sg.1	ich	ich
in	PPER.Masc.Akk.Sg.3	in	ër
kurztlichen	AVD	kurzlîchen	kurzlîche
wil	VMFIN.Ind.Pres.Sg.1	wile	wèllen
loben	VVINF	loben	loben
so	AVD	sô	sô
het	VAFIN.*.Past.Sg.3	hæte	haben
im	PPER.Masc.Dat.Sg.3	im	ër
got	NA.Masc.Nom.Sg.st	got	got
gegeben	VVPP	gegeben	gëben
von	APPR	von	von
allen	DIA.*.Dat.Pl.st	allen	all
tugende	NA.Fem.Dat.Pl.*	tugenden	tugende
ein	DIART	ein	èin
edel	ADJA.Pos.Neut.Akk.Sg.*	edel	èdele
leben	NA.Neut.Akk.Sg.st	leben	lëben
da	PAVD	dâ	dâr
dehein	DIA.Neut.Nom.Sg.*	dechein	dehèin
laster	NA.Neut.Nom.Sg.st	laster	laster
inne	PAVAP	inne	inne
was	VAFIN.Ind.Past.Sg.3	was	wësen
daz	DDS.Neut.Nom.Sg.*	daz	dër
hazzete	VVFIN.*.Past.Sg.3	hazzete	hazzen
sin	DPOSA	sîn	sîn
vat	NA.Masc.Nom.Sg.st	vater	vater
peleas	NE.Nom.Sg	Peleas	Peleas
.	$_	.	.
	
dem	DDART.Masc.Dat.Sg.*	dem	dër
kunige	NA.Masc.Dat.Sg.st	küninge	küning
was	VAFIN.Ind.Past.Sg.3	was	wësen
vil	AVD	vile	vile
leit	ADJD.Pos	leit	lèid
daz	KOUS	daz	dazz
jasones	NE.Gen.Sg	Jâsônes	Jâsôn
lop	NA.Masc,Neut.Nom.Sg.st	lop	lob
was	VAFIN.Ind.Past.Sg.3	was	wësen
breit	ADJD.Pos	breit	brèit
von	APPR	von	von
landen	NA.Neut.Dat.Pl.st	landen	lant
zu	APPR	zuo	ze
landen	NA.Neut.Dat.Pl.st	landen	lant
und	KON	und	unte
daz	KOUS	daz	dazz
man	PI.*.Nom.Sg.st	man	man
erkande	VVFIN.*.Past.Sg.3	erkante	erkènnen
uberal	DIA	überal	überall
sinen	DPOSA.Masc.Akk.Sg.st	sînen	sîn
namen	NA.Masc.Akk.Sg.*	namen	name
auch	AVD-KO*	ouch	ouch
begonde	VVFIN.*.Past.Sg.3	begonde	beginnen
er	PPER.Masc.Nom.Sg.3	er	ër
sich	PRF.Akk.*.*	sich	sich
schamen	VVINF	schamen	schamen
daz	KOUS	daz	dazz
man	PI.*.Nom.Sg.st	man	man
in	PPER.Masc.Akk.Sg.3	in	ër
lobete	VVFIN.*.Past.Sg.3	lobete	loben
mere	AVD.Comp	mêre	mêre
den	KOKOM	denne	danne
in	PPER.Masc.Akk.Sg.3	in	ër
der	DRELS.Masc.Nom.Sg	der	dër
des	DDART.Neut.Gen.Sg.*	des	dër
riches	NA.Neut.Gen.Sg.st	rîches	rîche
ere	NA.Fem.Akk.Sg.st	êre	êre
hette	VAFIN.*.Past.Sg.3	hette	haben
gephlogen	VVPP	gepflogen	pflëgen
manigen	DIA.Masc.Akk.Sg.st	manigen	manig
tag	NA.Masc.Akk.Sg.st	tac	tag
und	KON	und	unte
er	PPER.Masc.Nom.Sg.3	er	ër
es	PPER.Neut.Gen.Sg.3	es	ër
nie	AVD	nie	niè
niht	PTKNEG	niht	niht
gephlac	VVFIN.Ind.Past.Sg.3	gepflac	gepflëgen
auch	AVD-KO*	ouch	ouch
forte	VVFIN.*.Past.Sg.3	vuorte	vüèren
er	PPER.Masc.Nom.Sg.3	er	ër
daz	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
queme	VVFIN.Subj.Past.Sg.3	quæme	komen
daz	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
im	PPER.Masc.Dat.Sg.3	im	ër
schiere	AVD	schiere	schière
neme	VVFIN.Subj.Past.Sg.3	næme	nëmen
harte	AVD	harte	harte
schedeliche	AVD	schadelîche	schadelîche
sinen	DPOSA.Masc.Akk.Sg.st	sînen	sîn
gewalt	NA.Masc.Akk.Sg.st	gewalt	gewalt
und	KON	und	unte
sin	DPOSA	sîn	sîn
riche	NA.Neut.Akk.Sg.st	rîche	rîche
herumbe	PAVD|PAVAP	her|umbe	hëre|umbe
was	VAFIN.Ind.Past.Sg.3	was	wësen
sin	DPOSA	sîn	sîn
gedanc	NA.Masc.Nom.Sg.st	gedanc	gedank
manigen	DIA.Masc.Akk.Sg.st	manigen	manig
kurtzen	ADJA.Pos.Masc.Akk.Sg.*	kurzen	kurz
tag	NA.Masc.Akk.Sg.st	tac	tag
vil	AVD	vile	vile
lanc	ADJD.Pos	lanc	lang
wie	AVW	wie	wiè
er	PPER.Masc.Nom.Sg.3	er	ër
daz	DDS.Neut.Akk.Sg.*	daz	dër
erdechte	VVFIN.Subj.Past.Sg.3	erdæhte	erdènken
daz	KOUS	daz	dazz
ern	PPER.Masc.Nom.Sg.3|PPER.Masc.Akk.Sg.3	er|in	ër|ër
zume	APPR|DDART.Masc.Dat.Sg.*	zuo|deme	ze|dër
tode	NA.Masc.Dat.Sg.st	tôde	tôd
brechte	VVFIN.Subj.Past.Sg.3	bræhte	bringen
peleas	NE.Nom.Sg	Peleas	Peleas
gedachte	VVFIN.Ind.Past.Sg.3	gedâhte	gedènken
auch	AVD-KO*	ouch	ouch
mere	AVD.Comp	mêre	mêre
wie	AVW	wie	wiè
ein	DIART	ein	èin
lant	NA.Neut.Nom.Sg.st	lant	lant
were	VAFIN.Subj.Past.Sg.3	wære	wësen
in	APPR	in	in
eime	DIART.Masc.Dat.Sg.st	eineme	èin
felse	NA.Masc.Dat.Sg.*	velse	vëlse
uf	APPR	ûf	ûf
dem	DDART.Neut.Dat.Sg.*	dem	dër
mer	NA.Neut.Dat.Sg.st	mer	mère
harte	AVD	harte	harte
veste	ADJD.Pos	veste	vèste
von	APPR	von	von
gewer	NA.Fem.Dat.Sg.st	gewer	gewère
ez	PPER.Neut.Nom.Sg.3	ez	ër
was	VAFIN.Ind.Past.Sg.3	was	wësen
ein	DIART	ein	èin
wol	AVD	wole	wole
bewart	ADJA.Pos	bewart	bewaren
lant	NA.Neut.Nom.Sg.st	lant	lant
colchos	NE.Nom.Sg	Kolchos	Colchos
was	VAFIN.Ind.Past.Sg.3	was	wësen
ez	PPER.Neut.Nom.Sg.3	ez	ër
genant	VVPP	genant	nènnen
da	PAVD	dâ	dâr
was	VAFIN.Ind.Past.Sg.3	was	wësen
ein	DIART	ein	èin
stere	NA.Masc.Nom.Sg.st	stere	stër
inne	PAVAP	inne	inne
e	AVD	êr	êr
gebreche	VVFIN.Subj.Past.Sg.3	gebræche	gebrëchen
mir	PPER.*.Dat.Sg.1	mir	ich
der	DDART.*.Gen.Pl.*	der	dër
sinne	NA.Masc.Gen.Pl.st	sinne	sinn
e	KOUS	êr	êr
ich	PPER.*.Nom.Sg.1	ich	ich
wol	AVD	wole	wole
gesagen	VVINF	gesagen	gesagen
kunde	VMFIN.*.Past.Sg.1	kunde	kunnen
wie	AVW	wie	wiè
ez	PPER.Neut.Nom.Sg.3	ez	ër
um	APPR	umbe	umbe
den	DDART.Masc.Akk.Sg.*	den	dër
sterenstunde	VVFIN.Subj.Past.Sg.3	sterentstüende	stërnen
sin	DPOSA	sîn	sîn
schepper	NA.Masc.Nom.Sg.st	schæpær	schâpære
was	VAFIN.Ind.Past.Sg.3	was	wësen
von	APPR	von	von
golde	NA.Neut.Dat.Sg.st	golde	gold
swer	PG.Masc.Nom.Sg.st	swer	swër
es	PPER.Neut.Akk.Sg.3	ez	ër
gewinnen	VVINF	gewinnen	gewinnen
wolde	VMFIN.*.Past.Sg.3	wolte	wèllen
her	PPER.Masc.Nom.Sg.3	her	ër
hette	VAFIN.Subj.Past.Sg.3	hette	haben
nie	AVD	nie	niè
so	AVD	sô	sô
festen	ADJA.Pos.Masc.Akk.Sg.*	vesten	vèste
mut	NA.Masc.Akk.Sg.st	muot	muot
so	AVD	sô	sô
wol	AVD	wole	wole
was	VAFIN.Ind.Past.Sg.3	was	wësen
ez	PPER.Neut.Nom.Sg.3	ez	ër
behut	VVPP	behuot	behüèten
von	APPR	von	von
slangen	NA.Fem,Masc.Dat.Pl.wk	slangen	slange
und	KON	und	unte
von	APPR	von	von
wurmen	NA.Masc.Dat.Pl.st	würmen	wurm
daz	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
ez	PPER.Neut.Akk.Sg.3	ez	ër
kunde	VMFIN.*.Past.Sg.3	kunde	kunnen
ersturmen	VVINF	erstürmen	erstürmen
swelich	DGA.Masc.Nom.Sg.*	swelich	swèlich
tugenthafter	ADJA.Pos.Masc.Nom.Sg.st	tugenthafter	tugendhaft
man	NA.Masc.Nom.Sg.st	man	mann
anderswa	AVD	anderswâ	andereswâr
den	DDART.Masc.Akk.Sg.*	den	dër
pris	NA.Masc.Akk.Sg.st	prîs	prîs
gewan	VVFIN.Ind.Past.Sg.3	gewan	gewinnen
quam	VVFIN.Ind.Past.Sg.3	quam	komen
er	PPER.Masc.Nom.Sg.3	er	ër
dar	AVD	dar	dâr
er	PPER.Masc.Nom.Sg.3	er	ër
lac	VVFIN.Ind.Past.Sg.3	lac	ligen
dar	PAVD	dâr	dâr
nider	PAVAP	nider	nidere
und	KON	und	unte
quam	VVFIN.Ind.Past.Sg.3	quam	komen
ninmer	AVD	niemer	nièmer
me	AVD.Comp	mêr	mêre
wider	AVD	wider	widere
hie	AVD	hier	hièr
dachte	VVFIN.Ind.Past.Sg.3	dâhte	dènken
er	PPER.Masc.Nom.Sg.3	er	ër
daz	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
sinen	DPOSA.Masc.Akk.Sg.st	sînen	sîn
nefen	NA.Masc.Akk.Sg.wk	neven	nëve
furraten	VVINF	verrâten	verrâten
wolte	VMFIN.*.Past.Sg.3	wolte	wèllen
daz	DDART.Neut.Akk.Sg.*	daz	dër
iunge	ADJA.Pos.Neut.Akk.Sg.wk	junge	jung
leben	NA.Neut.Akk.Sg.st	leben	lëben
nach	APPR	nâch	nâh
disen	DDA.*.Dat.Pl.*	disen	dise
tagen	NA.Masc.Dat.Pl.st	tagen	tag
in	APPR	in	in
kurzer	ADJA.Pos.Fem.Dat.Sg.st	kurzer	kurz
zit	NA.Fem.Dat.Sg.st	zît	zît
der	DDART.Masc.Nom.Sg.*	der	dër
kunic	NA.Masc.Nom.Sg.st	küninc	küning
gebot	VVFIN.Ind.Past.Sg.3	gebôt	gebièten
ein	DIART	ein	èin
hochzit	NA.Fem.Akk.Sg.st	hôchzît	hôhzît
zu	APPR	zuo	ze
pelopene	NE.Dat.Sg	Pelopene	Pelopene
in	APPR	in	in
siner	DPOSA.Fem.Dat.Sg.st	sîner	sîn
stat	NA.Fem.Dat.Sg.st	stat	stat
jasonen	NE.Akk.Sg	Jâsônen	Jâsôn
er	PPER.Masc.Nom.Sg.3	er	ër
dar	AVD	dar	dâr
kumen	VVINF	kumen	komen
bat	VVFIN.Ind.Past.Sg.3	bat	biten
ercules	NE.Nom.Sg	Ercules	Hercules
mit	APPR	mit	mit
im	PPER.Masc.Dat.Sg.3	im	ër
dar	AVD	dar	dâr
quam	VVFIN.Ind.Past.Sg.3	quam	komen
kune	ADJD.Pos	küene	küène
und	KON	und	unte
dazu	PAVD|PAVAP	dâ|zuo	dâr|zuo
freissam	ADJD.Pos	vreissam	vrèissam
von	APPR	von	von
also	AVD	alsô	allsô
grozzer	ADJA.Pos.Fem.Dat.Sg.st	grôzer	grôz
frumekeit	NA.Fem.Dat.Sg.st	vrümicheit	vrümighèit
als	KO*	als	allsô
ich	PPER.*.Nom.Sg.1	ich	ich
iu	PPER.*.Dat.Pl.2	iu	ir
da	PAVD	dâ	dâr
vor	PAVAP	vore	vore
han	VAFIN.Ind.Pres.Sg.1	hân	haben
geseit	VVPP	geseit	sagen
da	AVD	dâ	dâr
ich	PPER.*.Nom.Sg.1	ich	ich
von	APPR	von	von
jasone	NE.Dat.Sg	Jâsône	Jâsôn
gesprochen	VVPP	gesprochen	sprëchen
han	VAFIN.Ind.Pres.Sg.1	hân	haben
daz	DDS.Neut.Akk.Sg.*	daz	dër
muget	VMFIN.*.Pres.Pl.2	müget	mügen
ir	PPER.*.Nom.Pl.2	ir	ir
alhie	AVD	alhier	allhièr
vurstan	VVINF	verstân	verstân
so	AVD	sô	sô
was	VAFIN.Ind.Past.Sg.3	was	wësen
er	PPER.Masc.Nom.Sg.3	er	ër
ferre	AVD	verre	vërre
baz	AVD.Comp	baz	bazz
bekant	VVPP	bekant	bekènnen
er	PPER.Masc.Nom.Sg.3	er	ër
hette	VAFIN.Subj.Past.Sg.3	hette	haben
gevarn	VVPP	gevarn	varen
durch	APPR	durch	durh
die	DDART.*.Akk.Pl.*	die	dër
lant	NA.Neut.Akk.Pl.st	lant	lant
und	KON	und	unte
hette	VAFIN.*.Past.Sg.3	hette	haben
in	APPR	in	in
sinen	DPOSA.*.Dat.Pl.st	sînen	sîn
ziten	NA.Fem,Neut.Dat.Pl.st	zîten	zît
vil	NA.Neut.Akk.Sg.st	vile	vile
getan	VVPP	getân	tuon
in	APPR	in	in
striten	NA.Masc.Dat.Pl.st	strîten	strît
und	KON	und	unte
von	APPR	von	von
grozzer	ADJA.Pos.Fem.Dat.Sg.st	grôzer	grôz
manheit	NA.Fem.Dat.Sg.st	manheit	mannhèit
daz	KOUS	daz	dazz
im	PPER.Masc.Dat.Sg.3	im	ër
nimman	DIA.*.Nom.Sg.st	nieman	nièmannd
widerstreit	VVFIN.Ind.Past.Sg.3	widerstreit	widerstrîten
die	DDART.*.Nom.Pl.*	die	dër
fursten	NA.Masc.Nom.Pl.wk	vürsten	vürste
dar	AVD	dar	dâr
quamen	VVFIN.Ind.Past.Pl.3	quâmen	komen
die	DRELS.*.Nom.Pl	die	dër
die	DDART.Fem.Akk.Sg.*	die	dër
hochzit	NA.Fem.Akk.Sg.st	hôchzît	hôhzît
furnamen	VVFIN.Ind.Past.Pl.3	vernâmen	vernëmen
die	DRELS.*.Akk.Pl	die	dër
ich	PPER.*.Nom.Sg.1	ich	ich
genennen	VVINF	genennen	genènnen
niht	PTKNEG	niht	niht
enkan	PTKNEG|VMFIN.Ind.Pres.Sg.1	en|kan	ne|kunnen
frauwen	VVINF	vröuwen	vröuwen
und	KON	und	unte
die	DDART.*.Nom.Pl.*	die	dër
dinstman	NA.Masc.Nom.Pl.st	dienestman	diènestmann
quamen	VVFIN.Ind.Past.Pl.3	quâmen	komen
alle	DID.*.Nom.Pl.st	alle	all
sament	AVD	sament	sament
dar	AVD	dar	dâr
wol	AVD	wole	wole
bereitet	VVPP	bereitet	berèiten
und	KON	und	unte
gar	AVD	gar	gare
zu	APPR	zuo	ze
behurt	NA.Masc.Dat.Sg.st	bûhurte	bûhurt
und	KON	und	unte
zu	APPR	zuo	ze
striten	NA.Masc.Dat.Pl.st	strîten	strît
dar	AVD	dar	dâr
quamen	VVFIN.Ind.Past.Pl.3	quâmen	komen
bi	APPR	bî	bî
der	DDART.Fem.Dat.Sg.*	der	dër
ziten	NA.Fem.Dat.Sg.st	zîtn	zît
sibenhundert	CARDA|ADJA.Pos	siben|hundert	siben|hundert
und	KON	und	unte
auch	AVD	ouch	ouch
me	AVD.Comp	mêr	mêre
ane	APPR	âne	âne
de	DRELS.*.Nom.Pl	die	dër
mit	APPR	mit	mit
jasone	NE.Dat.Sg	Jâsône	Jâsôn
und	KON	und	unte
mit	APPR	mit	mit
ercule	NE.Dat.Sg	Ercule	Hercules
dem	DDART.Masc.Dat.Sg.*	dem	dër
frumen	NA.Masc.Dat.Sg.*	vrumen	vrume
zu	APPR	zuo	ze
der	DDART.Fem.Dat.Sg.*	der	dër
hochzit	NA.Fem.Dat.Sg.st	hôchzît	hôhzît
waren	VAFIN.Ind.Past.Pl.3	wâren	wësen
kumen	VVPP	kumen	komen
sie	PPER.*.Nom.Pl.3	sie	ër
hetten	VAFIN.*.Past.Pl.3	hetten	haben
lute	NA.Masc,Neut.Gen.Pl.st	liute	liut
vil	NA.Neut.Akk.Sg.st	vile	vile
bracht	VVPP	brâht	bringen
in	PPER.*.Dat.Pl.3	in	ër
was	VAFIN.Ind.Past.Sg.3	was	wësen
bereitet	VVPP	bereitet	berèiten
siben	CARDA	siben	siben
nacht	NA.Fem.Akk.Pl.st	nahte	naht
harte	AVD	harte	harte
vil	NA.Neut.Nom.Sg.st	vile	vile
von	APPR	von	von
spise	NA.Fem.Dat.Sg.st	spîse	spîse
in	APPR	in	in
aller	DIA.*.Gen.Pl.st	aller	all
hande	NA.Fem.Gen.Pl.st	hande	hant
wise	NA.Fem.Dat.Sg.st	wîse	wîse
so	KO*	sô	sô
ez	PPER.Neut.Nom.Sg.3	ez	ër
dem	DDART.Masc.Dat.Sg.*	dem	dër
kunige	NA.Masc.Dat.Sg.st	küninge	küning
wol	AVD	wole	wole
gezam	VVFIN.Ind.Past.Sg.3	gezam	gezëmen
do	KOUS	dô	dô
man	PI.*.Nom.Sg.st	man	man
die	DDART.*.Akk.Pl.*	die	dër
thische	NA.Masc.Akk.Pl.st	tische	tisch
