o	ITJ	ô	ô
fürste	NA.Masc.Nom.Sg.wk	vürste	vürste
keret	VVFIN.Ind.Pres.Sg.3	kêret	kêren
,	$_	,	,
des	DDS.Neut.Gen.Sg.*	des	dër
kron	NA.Fem.Nom.Sg.*	krône	krône
und	KON	und	unte
wat	PW.Neut.Nom.Sg.st	waz	wër
rubinet	VVFIN.Ind.Pres.Sg.3	ruobet	rubenen
und	KON	und	unte
karfunkelt	NA.Fem.Nom.Sg.*	karfunkelt	karfunkelte
.	$_	.	.
	
mang	DIA.Masc.Nom.Sg.*	manic	manig
jochant	NA.Masc.Nom.Sg.st	jâchant	jâchant
spiegelvar	FM	-	-
die	DRELS.Masc.Nom.Sg	die	dër
verre	AVD	verre	vërre
glenzet	VVFIN.Ind.Pres.Sg.3	glenzet	glènzen
.	$_	.	.
	
das	DDS.Neut.Nom.Sg.*	daz	dër
lieret	VVFIN.Ind.Pres.Sg.3	lieret	lièren
in	APPR	in	in
den	DDART.*.Dat.Pl.*	den	dër
augen	NA.Neut.Dat.Pl.wk	ougen	ouge
so	AVD	sô	sô
,	$_	,	,
das	KOUS	daz	dazz
es	PPER.Neut.Nom.Sg.3	ez	ër
clarhait	NA.Fem.Nom.Sg.st	klârheit	klârhèit
der	DDART.Masc.Nom.Sg.*	der	dër
sunn	NA.Masc.Nom.Sg.st	sun	sun
nie	AVD	nie	niè
überschwenzet	VVFIN.Ind.Pres.Sg.3	überswenzet	überswanzen
.	$_	.	.
	
von	APPR	von	von
fürsten	NA.Masc.Dat.Pl.wk	vürsten	vürste
gross	ADJA.Pos	grôz	grôz
gedrennge	NA.Neut.Nom.Sg.st	<unknown>	gedrènge
was	VAFIN.Ind.Past.Sg.3	was	wësen
nach	AVD	nâch	nâh
auf	APPR	ûf	ûf
seinem	DPOSA.Neut.Dat.Sg.st	sînem	sîn
spor	NA.Neut.Dat.Sg.st	spore	spor
,	$_	,	,
von	APPR	von	von
rittern	NA.Masc.Dat.Pl.st	rittern	rîtære
solich	VMFIN.Ind.Pres.Sg.1|PPER.*.Nom.Sg.1	sol|ich	solen|ich
gemenge	NA.Neut.Nom.Sg.st	gemenge	gemènge
.	$_	.	.
	
in	APPR	in	in
ain	DIART.Neut.Akk.Sg.*	ein	èin
vil	AVD	vile	vile
reich	ADJA.Pos.Neut.Akk.Sg.*	rîche	rîche
gestüele	NA.Neut.Akk.Sg.st	gestüele	gestüèle
hoch	AVD	hôch	hôhe
enpor	AVD	enbore	enbore
satzt	VVFIN.*.Past.Sg.3	satzte	sètzen
sich	PRF.Akk.*.*	sich	sich
der	DDART.Masc.Nom.Sg.*	der	dër
herr	NA.Masc.Nom.Sg.*	hêrr	hêrre
,	$_	,	,
der	DRELS.Masc.Nom.Sg	der	dër
do	AVD	dô	dô
von	APPR	von	von
reichait	NA.Fem.Dat.Sg.st	rîchheit	rîchhèit
glinstert	VVFIN.*.Past.Sg.3	glinsterte	glinsteren
.	$_	.	.
	
was	PW.Neut.Akk.Sg.st	waz	wër
ich	PPER.*.Nom.Sg.1	ich	ich
vor	APPR	vore	vore
ye	AVD	ie	iè
von	APPR	von	von
kosste	NE.Dat.Sg	Koste	Kosse
sach	VVFIN.Ind.Past.Sg.1	sach	sëhen
,	$_	,	,
das	DDS.Neut.Nom.Sg.*	daz	dër
was	VAFIN.Ind.Past.Sg.3	was	wësen
bey	APPR	bî	bî
disem	DDA.Masc.Dat.Sg.*	disem	dise
glasst	NA.Masc.Dat.Sg.st	glaste	glast
et	AVD	et	ëht
gar	AVD	gar	gare
ervinstert	VVPP	ervinstert	ervinsteren
.	$_	.	.
	
von	APPR	von	von
gollt	NA.Neut.Dat.Sg.st	golde	gold
erglesst	VVFIN.Ind.Pres.Sg.3	erglesset	erglèsten
es	PPER.Neut.Gen.Sg.3	es	ër
alles	DIS.Neut.Nom.Sg.st	allez	all
,	$_	,	,
was	PW.Neut.Nom.Sg.st	waz	wër
yembt	NA.Neut.Nom.Sg.st	<unknown>	<unknown>
mocht	VMFIN.*.Past.Sg.3	mohte	mügen
übersehen	VVINF	übersehen	übersëhen
.	$_	.	.
	
dabey	PAVD|PAVAP	dâ|bî	dâr|bî
was	VAFIN.Ind.Past.Sg.3	was	wësen
vil	NA.Neut.Nom.Sg.st	vile	vile
des	DDART.Masc.Gen.Sg.*	des	dër
schalles	NA.Masc.Gen.Sg.st	schalles	schall
.	$_	.	.
	
maniger	DIA.*.Gen.Pl.st	maniger	manig
hannde	NA.Fem.Gen.Pl.st	hande	hant
tagalldie	NA.Fem.Akk.Pl.st	tageldie	<unknown>
spehen	VVINF	spehen	spëhen
mocht	VMFIN.*.Past.Sg.3	mohte	mügen
man	PI.*.Nom.Sg.st	man	man
auf	APPR	ûf	ûf
disem	DDA.Masc.Dat.Sg.*	disem	dise
wunne	NA.Fem.Dat.Sg.st	wünne	wünne
reichen	VVINF	reichen	rèichen
annger	AVD	anger	anger
.	$_	.	.
	
nu	AVD	nû	nû
gieng	VVFIN.Ind.Past.Sg.3	gienc	gân
dort	AVD	dort	dort
her	AVD	her	hëre
ain	DIART.Masc.Nom.Sg.*	ein	èin
herre	NA.Masc.Nom.Sg.*	hêrre	hêrre
alt,	$_	alt	alt
mit	APPR	mit	mit
im	PPER.Masc.Dat.Sg.3	im	ër
doctores	FM	-	-
,	$_	,	,
lerer	NA.Masc.Gen.Pl.st	lêrær	lêrære
giengen	VVFIN.*.Past.Pl.3	giengen	gân
manger	DIS.Masc.Nom.Sg.st	maniger	manig
.	$_	.	.
	
priscianus	NE.Nom.Sg	Priscianus	Priscianus
genennet	VVPP	genennet	nènnen
was	VAFIN.Ind.Past.Sg.3	was	wësen
diser	DDS.Masc.Nom.Sg.*	diser	dise
alt	ADJA.Pos.Masc.Nom.Sg.*	alt	alt
mit	APPR	mit	mit
namen	NA.Masc.Dat.Sg.*	namen	name
,	$_	,	,
durch	APPR	durch	durh
den	DRELS.Masc.Akk.Sg	den	dër
von	AVD	von	vone
erst	AVD.Sup	êrst	êreste
erkennet	VVPP	erkennet	erkènnen
der	DDART.Masc.Nom.Sg.*	der	dër
wellde	NA.Fem.Gen.Sg.st	welde	wërelt
ward	VAFIN.Ind.Past.Sg.3	wart	wërden
gramatica	FM	-	-
.	$_	.	.
	
von	APPR	von	von
des	DDART.Masc.Gen.Sg.*	des	dër
stamen	NA.Masc.Gen.Sg.*	stammen	stamme
die	DDART.*.Nom.Pl.*	die	dër
siben	CARDA	siben	siben
freyen	ADJA.Pos.*.Nom.Pl.wk	vrîen	vrî
künst	NA.Fem.Nom.Pl.st	künste	kunst
sind	VAFIN.Ind.Pres.Pl.3	sint	sîn
aus	PTKVZ	ûz	ûz
geflossen	VVPP	gevlozzen	vlièzen
.	$_	.	.
	
sy	PPER.Fem.Nom.Sg.3	si	ër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
mueter	NA.Fem.Nom.Sg.st	muoter	muoter
und	KON	und	unte
uresprink	ADJD.Pos	ursprinc	vrèispring
;	$_	;	;
aus	KOUS	ûz	ûz
ir	PPER.Fem.Dat.Sg.3	ir	ër
die	DDART.*.Nom.Pl.*	die	dër
anderen	DIA.*.Nom.Pl.wk	anderen	ander
sechs	CARDS.*.Nom.Pl.*	sehs	sëhs
sich	PRF.Akk.*.*	sich	sich
hannd	VAFIN.Ind.Pres.Pl.3	<unknown>	haben
ergossen	VVPP	ergozzen	ergièzen
.	$_	.	.
	
wer	PW.Masc.Nom.Sg.st	wer	wër
der	DDART.Masc.Nom.Sg.*	der	dër
künig	NA.Masc.Nom.Sg.st	küninc	küning
bekronet	VVPP	bekroenet	bekroènen
sey	VAFIN.Subj.Pres.Sg.3	sî	sîn
,	$_	,	,
der	DRELS.Masc.Nom.Sg	der	dër
mit	APPR	mit	mit
reichait	NA.Fem.Dat.Sg.st	rîchheit	rîchhèit
gros	AVD	grôze	grôze
all	DIA.Fem.Akk.Sg.*	al	all
herschaft	NA.Fem.Akk.Sg.st	hêrschaft	hêrschaft
überschonet	VVFIN.Ind.Pres.Sg.3	überschônet	überschoènen
?	$_	?	?
	
der	DDART.Masc.Nom.Sg.*	der	dër
edel	ADJA.Pos.Masc.Nom.Sg.*	edel	èdele
sunn	NA.Masc.Nom.Sg.st	sun	sun
,	$_	,	,
des	DDS.Masc.Gen.Sg.*	des	dër
glanz	NA.Masc.Nom.Sg.st	glanz	glanz
tuet	VVFIN.Ind.Pres.Sg.3	tuot	tuon
widerstos	NA.Masc.Akk.Sg.st	widerstôz	widerstôz
,	$_	,	,
das	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
alls	DIA.Neut.Akk.Sg.st	allez	all
licht	NA.Neut.Akk.Sg.st	lieht	lièht
an	APPR	an	ane
clarhait	NA.Fem.Dat.Sg.st	klârheit	klârhèit
überobet	VVFIN.Ind.Pres.Sg.3	überobet	überoben
.	$_	.	.
	
fraw	NA.Fem.Nom.Sg.*	vrouwe	vrouwe
mynn	NA.Fem.Nom.Sg.*	minne	minne
jach:<	VVIMP.Sg.2	jache	jagen
nymm	AVD	niemer	nièmer
mit	APPR	mit	mit
fleisse	NA.Neut.Dat.Sg.st	vleische	vlèisch
war	NA.Fem.Akk.Sg.st	war	ware
!	$_	!	!
	
du	PPER.*.Nom.Sg.2	dû	dû
hörest	VVFIN.*.Pres.Sg.2	hoerest	hoèren
palld	NE.Akk.Sg	Pallt	Balde
,	$_	,	,
was	PW.Neut.Akk.Sg.st	waz	wër
ich	PPER.*.Nom.Sg.1	ich	ich
dir	PPER.*.Dat.Sg.2	dir	dû
hab	VAFIN.*.Pres.Sg.1	habe	haben
gelobet.>	VVPP	gelobet	loben
priscianus	NE.Nom.Sg	Priscianus	Priscianus
züchtigkleiche	AVD	zühticlîche	zühtiglîche
hie	AVD	hier	hièr
für	APPR	vüre	vüre
den	DDART.Masc.Akk.Sg.*	den	dër
künig	NA.Masc.Akk.Sg.st	küninc	küning
trat	VVFIN.Ind.Past.Sg.3	trat	trëten
.	$_	.	.
	
sunst	NA.Masc.Nom.Sg.st	sunst	sunst
sprach	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
der	DDART.Masc.Nom.Sg.*	der	dër
künstenreiche	ADJA.Pos.Masc.Nom.Sg.wk	künstenrîche	künsterîche
:	$_	:	:
<ewr	DPOSA	<unknown>	iuwer
wird	VAFIN.Ind.Pres.Sg.3	wirdet	wërden
,	$_	,	,
die	DRELS.Fem.Nom.Sg	die	dër
verr	AVD	verr	vërre
vor	APPR	vore	vore
allen	DIA.*.Dat.Pl.st	allen	all
wirden	NA.Fem.Dat.Pl.*	wirden	wirde
gat	VVFIN.Ind.Pres.Sg.3	gât	gân
,	$_	,	,
bericht	VVPP	beriht	berihten
mich	PPER.*.Akk.Sg.1	mich	ich
,	$_	,	,
herr	NA.Masc.Nom.Sg.*	hêrr	hêrre
,	$_	,	,
von	APPR	von	von
ainem	DIART.Masc.Dat.Sg.st	einem	èin
fürsten	NA.Masc.Dat.Sg.wk	vürsten	vürste
grossen	ADJN.Masc.Dat.Sg.wk	grôzen	grôz
,	$_	,	,
der	DRELS.Masc.Nom.Sg	der	dër
yetz	AVD	iezunt	ièzunt
zer	APPR|DDART.Fem.Dat.Sg.*	ze|der	ze|dër
werlde	NA.Fem.Dat.Sg.st	werlte	wërelt
sein	DPOSA	sîn	sîn
hoches	ADJA.Pos.Neut.Akk.Sg.st	hôhez	hôh
lob	NA.Neut.Akk.Sg.st	lop	lob
vor	APPR	vore	vore
anderen	DIA.*.Dat.Pl.st	anderen	ander
fürsten	NA.Masc.Dat.Pl.wk	vürsten	vürste
kan	VMFIN.Ind.Pres.Sg.3	kan	kunnen
so	AVD	sô	sô
hoche	AVD	hôhe	hôhe
stossen	VVINF	stôzen	stôzen
.	$_	.	.
	
ain	DIART	ein	èin
fürst	NA.Masc.Nom.Sg.st	vurst	vürst
aus	APPR	ûz	ûz
bayrenlannde	NA.Neut.Dat.Sg.st	barnelande	barnlant
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
der	DDART.Masc.Nom.Sg.*	der	dër
vil	AVD	vile	vile
tugentwalt	ADJD.Pos	tugentwalt	tugendwalt
,	$_	,	,
der	DRELS.Masc.Nom.Sg	der	dër
do	AVD	dô	dô
so	AVD	sô	sô
weyt	ADJD.Pos	wît	wît
erkannde	VVFIN.*.Past.Sg.3	erkante	erkènnen
der	DDART.Fem.Dat.Sg.*	der	dër
werlde	NA.Fem.Dat.Sg.st	werlte	wërelt
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
durch	APPR	durch	durh
sein	DPOSA	sîn	sîn
tugent	NA.Fem.Akk.Sg.st	tugent	tugende
manigfallt	ADJD.Pos	manicvalt	manigvalt
.	$_	.	.
	
er	PPER.Masc.Nom.Sg.3	er	ër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
mit	APPR	mit	mit
gnaden	NA.Fem.Dat.Pl.*	genâden	genâde
ye	AVD	ie	iè
euch	PPER.*.Dat.Pl.2	iuch	ir
sunder	AVD	sundert	sunder
gemainet	VVPP	gemeinet	mèinen
,	$_	,	,
das	KOUS	daz	dazz
ir	PPER.*.Nom.Pl.2	ir	ir
von	APPR	von	von
allem	DIA.Masc,Neut.Dat.Sg.st	allem	all
tadel	NA.Masc,Neut.Dat.Sg.st	tadel	tadel
im	PPER.Masc.Dat.Sg.3	im	ër
sein	DPOSA	sîn	sîn
herze	NA.Neut.Akk.Sg.wk	herze	hërze
habt	VAFIN.*.Pres.Pl.2	habet	haben
durchnechtigklich	AVD	durhnehticlîche	durhnèhtiglîche
gerainet.>	VVPP	gereinet	rèinen
der	DDART.Masc.Nom.Sg.*	der	dër
künig	NA.Masc.Nom.Sg.st	küninc	küning
sprach:<	AVD	sprâche	sprâche
gesaget	VVPP	gesaget	sagen
hastu	VAFIN.*.Pres.Sg.2|PPER.*.Nom.Sg.2	hâs|dû	haben|dû
von	APPR	von	von
ainem	DIART.Masc.Dat.Sg.st	einem	èin
mann	NA.Masc.Dat.Sg.st	manne	mann
,	$_	,	,
des	DDS.Masc.Gen.Sg.*	des	dër
preys	NA.Masc.Akk.Sg.st	prîs	prîs
nach	APPR	nâch	nâh
eren	NA.Fem.Dat.Pl.*	êren	êre
jaget	VVFIN.Ind.Pres.Sg.3	jaget	jagen
.	$_	.	.
	
do	KOUS	dô	dô
im	PPER.Masc.Dat.Sg.3	im	ër
der	DDART.Masc.Nom.Sg.*	der	dër
künig	NA.Masc.Nom.Sg.st	küninc	küning
in	APPR	in	in
der	DDART.Fem.Dat.Sg.*	der	dër
himeltron	VVFIN.Ind.Past.Sg.3	<unknown>	himeltrinnen
im	PPER.Masc.Dat.Sg.3	im	ër
anpegynn	PTKVZ|VVFIN.Ind.Past.Pl.3	an|begiengen	ane|begân
ein	DIART.Neut.Akk.Sg.*	ein	èin
goss	NA.Neut.Akk.Sg.st	geos	gos
sein	DPOSA	sîn	sîn
werdes	ADJA.Pos.Neut.Akk.Sg.st	werdez	wërd
leben	NA.Neut.Akk.Sg.st	leben	lëben
,	$_	,	,
do	AVD	dô	dô
wollt	VMFIN.*.Past.Sg.3	wolte	wèllen
auch	AVD	ouch	ouch
got	NA.Masc.Nom.Sg.st	got	got
,	$_	,	,
das	KOUS	daz	dazz
ich	PPER.*.Nom.Sg.1	ich	ich
im	PPER.Masc.Dat.Sg.3	im	ër
sollt	VMFIN.*.Past.Sg.1	solte	solen
nach	APPR	nâch	nâh
meiner	DPOSA.Fem.Dat.Sg.st	mîner	mîn
art	NA.Fem.Dat.Sg.st	art	art
natur	NA.Fem.Dat.Sg.st	natûr	natûre
und	KON	und	unte
wesen	VAINF	wesen	wësen
geben	VVINF	geben	gëben
.	$_	.	.
	
durch	APPR	durch	durh
sein	DPOSA	sîn	sîn
gepot	NA.Neut.Akk.Sg.st	gebot	gebot
allmächtig	ADJD.Pos	almehtic	allmèhtig
was	VAFIN.Ind.Past.Sg.1	was	wësen
ichs	PPER.*.Nom.Sg.1|PPER.Neut.Gen.Sg.3	ich|es	ich|ër
geflissen	VVPP	gevlizzen	vlîzen
sunder	APPR	sunder	sunter
in	APPR	in	in
leo	FM	-	-
,	$_	,	,
mein	DPOSA	mîn	mîn
haws	NA.Neut.Akk.Sg.st	hûs	hûs
,	$_	,	,
erträchtig	ADJD.Pos	ertrahtic	ertrèhtig
mocht	VMFIN.*.Past.Sg.1	mohte	mügen
ich	PPER.*.Nom.Sg.1	ich	ich
wol	AVD	wole	wole
würken	VVINF	würken	würken
mit	APPR	mit	mit
im	PPER.Masc.Dat.Sg.3	im	ër
meine	DPOSA.Neut.Akk.Pl.st	mîne	mîn
wunder	NA.Neut.Akk.Pl.st	wunder	wunter
.	$_	.	.
	
ich	PPER.*.Nom.Sg.1	ich	ich
wil	VMFIN.Ind.Pres.Sg.1	wile	wèllen
er	PPER.Masc.Nom.Sg.3	er	ër
,	$_	,	,
herschall	NA.Masc.Akk.Sg.st	herschal	hèreschall
im	PPER.Masc.Dat.Sg.3	im	ër
noch	AVD	noch	noh
grosse	AVD	grôze	grôze
füegen	VVINF	vüegen	vüègen
:	$_	:	:
seinen	DPOSA.Masc.Akk.Sg.st	sînen	sîn
stat	NA.Masc.Akk.Sg.st	stat	stade
mach	VMFIN.Ind.Pres.Sg.1	mac	mügen
ich	PPER.*.Nom.Sg.1	ich	ich
mit	APPR	mit	mit
wird	NA.Fem.Dat.Sg.st	wirde	wirde
so	AVD	sô	sô
hoch	ADJD.Pos	hôch	hôh
,	$_	,	,
das	KOUS	daz	dazz
in	PPER.Masc.Akk.Sg.3	in	ër
von	APPR	von	von
mir	PPER.*.Dat.Sg.1	mir	ich
wol	AVD	wole	wole
ymmer	AVD	iemer	ièmer
mag	VMFIN.Ind.Pres.Sg.3	mac	mügen
penüegen	VVINF	pfenningen	benüègen
.	$_	.	.
	
ich	PPER.*.Nom.Sg.1	ich	ich
gib	VVFIN.Ind.Pres.Sg.1	gibe	gëben
schon	AVD	schône	schône
,	$_	,	,
dabey	PAVD|PAVAP	dâ|bî	dâr|bî
sterke	NA.Fem.Akk.Sg.st	sterke	stèrke
den	DDART.*.Dat.Pl.*	den	dër
meinerwelten	ADJA.Pos.*.Dat.Pl.*	meinerwelten	mèinerwèlet
kinden	NA.Neut.Dat.Pl.st	kinden	kind
.	$_	.	.
	
ain	DIART	ein	èin
weyser	ADJA.Pos.Masc.Nom.Sg.st	weiser	wîse
an	APPR	an	ane
in	PPER.*.Dat.Pl.3	in	ër
merke	VVFIN.Subj.Pres.Sg.3	merke	mèrken
:	$_	:	:
in	APPR	in	in
beschaydenhait	NA.Fem.Dat.Sg.st	bescheidenheit	beschèidenhèit
mues	VMFIN.Ind.Pres.Sg.3	muoz	müèzen
man	PI.*.Nom.Sg.st	man	man
sy	PPER.*.Akk.Pl.3	si	ër
allzeit	DIA.Fem.Akk.Sg.st|NA.Fem.Akk.Sg.st	al|zît	all|zît
vinden	VVINF	vinden	vinden
.	$_	.	.
	
nach	APPR	nâch	nâh
herschall	NA.Fem.Dat.Sg.st	herschall	hèreschalle
strebt	VVFIN.*.Past.Sg.3	strebete	strëben
ir	DPOSA	ire	ire
herz	NA.Neut.Nom.Sg.wk	herze	hërze
zu	APPR	zuo	ze
allen	DIA.*.Dat.Pl.st	allen	all
stunden	NA.Fem.Dat.Pl.*	stunden	stunte
,	$_	,	,
unpeweglich	ADJD.Pos	unbewegelich	unbewëgelich
,	$_	,	,
fürsichtig	ADJD.Pos	vüresihtic	vüresihtig
,	$_	,	,
auch	AVD	ouch	ouch
senftes	ADJA.Pos.Masc,Neut.Gen.Sg.st	senftes	sèmfte
muets	NA.Masc,Neut.Gen.Sg.st	muotes	muot
gen	VVINF	gên	gân
frembden	VVINF	vremeden	vrèmeden
unde	KON	unde	unte
kunden	VVINF	künden	künden
.	$_	.	.
	
hör	VVIMP.Sg.2	hoer	hoèren
,	$_	,	,
was	PW.Neut.Akk.Sg.st	waz	wër
ich	PPER.*.Nom.Sg.1	ich	ich
dir	PPER.*.Dat.Sg.2	dir	dû
wil	VMFIN.Ind.Pres.Sg.1	wile	wèllen
däuten	VVINF	diuten	diuten
,	$_	,	,
das	DDS.Neut.Nom.Sg.*	daz	dër
in	PPER.*.Dat.Pl.3	in	ër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
angeboren	PTKVZ|VVPP	an|geboren	ane|gebëren
:	$_	:	:
frölich	ADJD.Pos	vroelich	vroèlich
bey	APPR	bî	bî
werden	ADJA.Pos.*.Dat.Pl.*	werden	wërd
läuten	NA.Masc,Neut.Dat.Pl.st	liuten	liut
sol	VMFIN.Ind.Pres.Sg.3	sol	solen
sein	VAINF	sîn	sîn
der	DDART.Masc.Nom.Sg.*	der	dër
edel	ADJA.Pos.Masc.Nom.Sg.*	edel	èdele
fürste	NA.Masc.Nom.Sg.wk	vürste	vürste
auserkoren	ADJD.Pos	ûzerkoren	ûzerkoren
,	$_	,	,
millt	ADJD.Pos	milte	milte
und	KON	und	unte
getrew	ADJD.Pos	getriuwe	getriuwe
,	$_	,	,
dapey	PAVD|PAVAP	dâ|bî	dâr|bî
mit	APPR	mit	mit
eren	NA.Fem.Dat.Pl.*	êren	êre
zuchtig	ADJD.Pos	zühtic	zühtig
.	$_	.	.
	
sein	DPOSA.Neut.Nom.Sg.*	sîn	sîn
herz	NA.Neut.Nom.Sg.wk	herze	hërze
vast	AVD	vaste	vaste
hoher	ADJA.Pos.*.Gen.Pl.st	hôher	hôh
eren	NA.Fem.Gen.Pl.*	êren	êre
gert	VVFIN.Ind.Pres.Sg.3	gert	gëren
.	$_	.	.
	
fraw	NA.Fem.Nom.Sg.*	vrouwe	vrouwe
schannd	NA.Fem.Nom.Sg.*	schande	schante
ab	APPR	ab	abe
seinem	DPOSA.Masc.Dat.Sg.st	sînem	sîn
hof	NA.Masc.Dat.Sg.st	hove	hov
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
verr	AVD	verr	vërre
die	DDS.Fem.Akk.Sg.*	die	dër
fluchtig	ADJD.Pos	vlühtic	vlühtig
.	$_	.	.
	
vernembt	VVIMP.Pl.2	vernemet	vernëmen
,	$_	,	,
fraw	NA.Fem.Nom.Sg.*	vrouwe	vrouwe
mynn	NA.Fem.Akk.Sg.st	minne	minne
und	KON	und	unte
ere	NA.Fem.Akk.Sg.st	êre	êre
!	$_	!	!
	
wann	KO*	wanne	wante
ir	PPER.*.Nom.Pl.2	ir	ir
welt	VMFIN.*.Pres.Pl.2	wellt	wèllen
fürbas	AVD	vürebaz	vürebazz
gan	VVINF	gân	gân
,	$_	,	,
so	AVD	sô	sô
nemet	VVIMP.Pl.2	nemet	nëmen
ewer	DPOSA.Fem.Akk.Sg.*	iuwer	iuwer
kere	NA.Fem.Akk.Sg.st	kêre	kêre
zu	APPR	zuo	ze
ptholomeus	NE.Dat.Sg	Ptolomeus	Ptolomeus
,	$_	,	,
dem	DDART.Masc.Dat.Sg.*	dem	dër
künsten	ADJA.Pos.Masc.Dat.Sg.wk	kunsten	küène
reichen	ADJA.Pos.Masc.Dat.Sg.wk	rîchen	rîche
man	NA.Masc.Dat.Sg.st	manne	mann
.	$_	.	.
	
wes	PW.Neut.Gen.Sg.st	wes	wër
ir	PPER.*.Nom.Pl.2	ir	ir
in	PPER.Masc.Akk.Sg.3	in	ër
durch	APPR	durch	durh
den	DDART.Masc.Akk.Sg.*	den	dër
fürsten	NA.Masc.Akk.Sg.wk	vürsten	vürste
bitt	VVFIN.*.Pres.Pl.2	bitet	biten
,	$_	,	,
das	DDS.Neut.Akk.Sg.*	daz	dër
laisst	VVFIN.*.Pres.Sg.2	lâzest	lâzen
er	PPER.Masc.Nom.Sg.3	er	ër
.	$_	.	.
	
natur	NA.Fem.Nom.Sg.*	natûr	natûre
und	KON	und	unte
der	DDART.*.Gen.Pl.*	der	dër
planeten	NA.Masc.Gen.Pl.wk	plânêten	plânête
lauff	NA.Masc.Nom.Sg.st	louf	louf
,	$_	,	,
des	DDS.Neut.Gen.Sg.*	des	dër
alles	DIN.Neut.Gen.Sg.st	alles	all
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
er	PPER.Masc.Nom.Sg.3	er	ër
gar	AVD	gar	gare
durch	APPR	durch	durh
grundt	NA.Masc.Akk.Sg.st	grunt	grunt
ain	DIART	ein	èin
maister	NA.Masc.Nom.Sg.st	meister	mèister
.	$_	.	.
	
der	DDS.Masc.Nom.Sg.*	der	dër
sol	VMFIN.Ind.Pres.Sg.3	sol	solen
nach	APPR	nâch	nâh
ewer	DPOSA	iuwer	iuwer
gere	NA.Fem.Dat.Sg.st	gere	gëre
euch	PPER.*.Akk.Pl.2	iuch	ir
füeren	VVINF	vüeren	vüèren
sunder	APPR	sunder	sunter
wan	NA.Masc.Akk.Sg.st	wân	wân
hin	AVD	hin	hine
zu	APPR	zuo	ze
des	DDART.Masc.Gen.Sg.*	des	dër
mannes	NA.Masc.Gen.Sg.st	mannes	mann
spere	NA.Neut.Dat.Sg.st	spere	spër
,	$_	,	,
do	KOUS	dô	dô
er	PPER.Masc.Nom.Sg.3	er	ër
reichlich	AVD	rîchelîche	rîchelîche
sitzt	VVFIN.Ind.Pres.Sg.3	sitzet	sitzen
in	APPR	in	in
seiner	DPOSA.Fem.Dat.Sg.st	sîner	sîn
region	NA.Fem.Dat.Sg.st	<unknown>	rêgie
,	$_	,	,
dem	DRELS.Masc.Dat.Sg	dem	dër
wol	AVD	wole	wole
beheglich	ADJD.Pos	behegelich	behègelich
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
ditz	DDA.Neut.Nom.Sg.*	ditz	dise
fürsten	NA.Masc.Gen.Sg.wk	vürsten	vürste
leben	NA.Neut.Nom.Sg.st	leben	lëben
.	$_	.	.
	
zu	APPR	zuo	ze
ewer	DPOSA	iuwer	iuwer
fürgenomen	NA.Masc.Gen.Pl.*	vüregenomen	vüregenôme
rais	NA.Fem.Dat.Sg.st	reise	rèise
sol	VMFIN.Ind.Pres.Sg.3	sol	solen
euch	PPER.*.Dat.Pl.2	iuch	ir
got	NA.Masc.Nom.Sg.st	got	got
selber	DDD.Masc.Nom.Sg.st	selber	sëlb
hail	NA.Neut.Akk.Sg.st	heil	hèil
mit	APPR	mit	mit
gelücke	NA.Neut.Dat.Sg.st	gelücke	gelücke
geben.>	VVINF	geben	gëben
wir	PPER.*.Nom.Pl.1	wir	wir
gerten	VVINF	gerten	gèrten
genad	NA.Fem.Akk.Sg.st	genâde	genâde
und	KON	und	unte
hullde	NA.Fem.Akk.Sg.st	hulde	hulde
.	$_	.	.
	
mit	APPR	mit	mit
urlab	NA.Masc,Neut.Dat.Sg.st	urloube	urloub
schied	VVFIN.*.Past.Pl.1	<unknown>	schèiden
wir	PPER.*.Nom.Pl.1	wir	wir
dann	AVD	danne	danne
.	$_	.	.
	
ich	PPER.*.Nom.Sg.1	ich	ich
jach:<	VVFIN.Ind.Past.Sg.1	jach	jëhen
zwar	APPR|NA.Neut.Dat.Sg.st	ze|wâr	ze|wâr
ich	PPER.*.Nom.Sg.1	ich	ich
verschullde	VVFIN.Subj.Past.Sg.1	verschüllte	verschulden
,	$_	,	,
fraw	NA.Fem.Nom.Sg.*	vrouwe	vrouwe
mynn	NA.Fem.Nom.Sg.*	minne	minne
,	$_	,	,
was	PW.Neut.Akk.Sg.st	waz	wër
ir	PPER.Fem.Dat.Sg.3	ir	ër
zu	APPR	zuo	ze
lieb	ADJD.Pos	liep	lièb
mir	PPER.*.Dat.Sg.1	mir	ich
habt	VAFIN.*.Pres.Pl.2	habet	haben
getan	VVPP	getân	tuon
.	$_	.	.
	
lat	VVIMP.Pl.2	lât	lâzen
uns	PPER.*.Akk.Pl.1	uns	wir
